	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	7357179	2020-09-29	0.1084	1129326976
1	Blackrock Inc.	4496376	2020-09-29	0.0663	690193716
2	ClearBridge Investments, LLC	4171013	2020-09-29	0.061500000000000006	640250495
3	Barrow, Hanley Mewhinney & Strauss, LLC	3853187	2020-09-29	0.056799999999999996	591464204
4	Melvin Capital Management LP	3725627	2020-09-29	0.054900000000000004	571883744
5	State Street Corporation	3235397	2020-09-29	0.04769999999999999	496633439
6	Caisse De Depot Et Placement Du Quebec	1679111	2020-09-29	0.024700000000000003	257743538
7	Artisan Partners Limited Partnership	1642727	2020-09-29	0.0242	252158594
8	Starboard Value LP	1596921	2020-09-29	0.0235	245127373
9	American Century Companies, Inc.	1576385	2020-09-29	0.0232	241975097
