	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	5033343	2020-09-29	0.030600000000000002	23707045
1	Blackrock Inc.	3674419	2020-09-29	0.022400000000000003	17306513
2	Mittleman Investment Management, LLC	2144732	2020-09-29	0.0131	10101687
3	Prudential Financial, Inc.	1770464	2020-09-29	0.0108	8338885
4	Susquehanna International Group, LLP	1638908	2020-09-29	0.01	7719256
5	Charles Schwab Investment Management, Inc.	1266412	2020-09-29	0.0077	5964800
6	State Street Corporation	1156301	2020-09-29	0.006999999999999999	5446177
7	Shaw D.E. & Co., Inc.	779462	2020-09-29	0.004699999999999999	3671266
8	Geode Capital Management, LLC	755165	2020-09-29	0.0046	3556827
9	Northern Trust Corporation	710905	2020-09-29	0.0043	3348362
