	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	95830991	2020-09-29	0.0797	7857182952
1	Blackrock Inc.	80339991	2020-09-29	0.0668	6587075862
2	Price (T.Rowe) Associates Inc	55548488	2020-09-29	0.0462	4554420531
3	FMR, LLC	47929248	2020-09-29	0.039900000000000005	3929719043
4	State Street Corporation	46890817	2020-09-29	0.039	3844578085
5	Capital World Investors	46299316	2020-09-29	0.0385	3796080918
6	JP Morgan Chase & Company	37940690	2020-09-29	0.0315	3110757173
7	Wellington Management Company, LLP	23158829	2020-09-29	0.019299999999999998	1898792389
8	Geode Capital Management, LLC	17441993	2020-09-29	0.014499999999999999	1430069006
9	Bank Of New York Mellon Corporation	13841345	2020-09-29	0.0115	1134851876
