	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	2165947	2020-09-29	0.09519999999999999	2550705825
1	Blackrock Inc.	1734842	2020-09-29	0.0762	2043019332
2	State Street Corporation	1049906	2020-09-29	0.0461	1236411301
3	FMR, LLC	996827	2020-09-29	0.0438	1173903348
4	Fiera Capital Corporation	718527	2020-09-29	0.0316	846166136
5	JP Morgan Chase & Company	711810	2020-09-29	0.0313	838255928
6	Boston Partners	680882	2020-09-29	0.029900000000000003	801833878
7	Nordea Investment Management Ab	552838	2020-09-29	0.024300000000000002	651044142
8	Melvin Capital Management LP	413263	2020-09-29	0.0182	486675039
9	Wellington Management Company, LLP	408739	2020-09-29	0.018000000000000002	481347395
