	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	40591391	2020-09-29	0.0719	6708133276
1	Newport Trust Co	35141250	2020-09-29	0.0622	5807442975
2	Blackrock Inc.	30243923	2020-09-29	0.0536	4998110714
3	State Street Corporation	26412153	2020-09-29	0.046799999999999994	4364872404
4	Loomis Sayles & Company, LP	9331747	2020-09-29	0.0165	1542164509
5	Geode Capital Management, LLC	7526450	2020-09-29	0.013300000000000001	1243821127
6	Capital World Investors	7416515	2020-09-29	0.0131	1225653268
7	Morgan Stanley	5835189	2020-09-29	0.0103	964323334
8	Price (T.Rowe) Associates Inc	5714360	2020-09-29	0.0101	944355133
9	Northern Trust Corporation	5390158	2020-09-29	0.0095	890777511
