Date	Firm	To Grade	From Grade	Action
2012-05-31	Barclays	Overweight		main
2012-10-04	Wells Fargo	Underperform	Market Perform	down
2012-11-01	Barclays	Overweight		main
2013-09-24	Morgan Stanley	Equal-Weight		init
2014-01-13	Citigroup	Neutral		init
2014-02-06	Bank of America	Buy	Neutral	up
2014-02-20	JP Morgan	Overweight		init
2014-04-09	Citigroup	Neutral		main
2014-05-22	Stifel	Buy	Hold	up
2014-05-22	JP Morgan	Overweight		main
2014-05-23	Citigroup	Buy		main
2014-06-05	Cowen & Co.	Market Perform		init
2014-06-17	Bank of America	Underperform	Buy	down
2014-07-31	JP Morgan	Overweight		main
2014-07-31	Credit Suisse	Outperform	Neutral	up
2014-09-15	Cowen & Co.	Outperform	Market Perform	up
2014-10-30	Barclays	Overweight		main
2014-11-26	Stifel Nicolaus	Buy		main
2014-12-12	Citigroup	Neutral		main
2015-01-09	Bank of America	Buy	Neutral	up
2015-01-29	Citigroup	Neutral		main
2015-01-29	Credit Suisse	Outperform		main
2015-01-29	JP Morgan	Overweight		main
2015-05-22	Raymond James	Outperform	Market Perform	up
2015-05-22	Barclays	Overweight		main
2015-05-26	Citigroup	Neutral		main
2015-07-28	BB&T Capital	Buy		init
2015-09-11	Morgan Stanley	Underweight	Equal-Weight	down
2015-11-02	Bank of America	Neutral	Buy	down
2015-12-22	William Blair	Outperform	Market Perform	up
2016-01-07	Wells Fargo	Outperform	Market Perform	up
2016-01-20	Jefferies	Buy		init
2016-04-12	Raymond James	Market Perform	Outperform	down
2016-08-01	Jefferies	Buy		main
2016-10-06	Raymond James	Outperform	Market Perform	up
2016-11-18	Bank of America	Buy	Neutral	up
2017-03-17	Vertical Research	Buy		init
2017-04-05	Evercore ISI Group	In-Line		init
2017-05-01	Barclays	Equal-Weight	Overweight	down
2017-06-07	Vertical Research	Hold	Buy	down
2017-06-16	Raymond James	Market Perform	Outperform	down
2017-06-16	Drexel Hamilton	Hold	Buy	down
2017-07-17	Jefferies	Hold	Buy	down
2017-10-03	Vertical Research	Buy	Hold	up
2017-10-25	Wells Fargo	Outperform		main
2017-11-07	Jefferies	Buy	Hold	up
2017-12-01	SunTrust Robinson Humphrey	Buy		init
2018-04-10	Citigroup	Neutral	Neutral	main
2018-05-30	SunTrust Robinson Humphrey	Buy	Buy	main
2018-05-30	Credit Suisse	Outperform	Outperform	main
2018-06-07	Wells Fargo	Outperform	Outperform	main
2018-06-08	Bank of America	Neutral	Neutral	main
2018-06-12	Citigroup	Neutral	Neutral	main
2018-07-09	Vertical Research	Hold	Buy	down
2018-07-31	Raymond James	Outperform	Market Perform	up
2018-10-30	Citigroup	Neutral	Neutral	main
2018-10-30	Wells Fargo	Outperform	Outperform	main
2018-10-30	Credit Suisse	Outperform	Outperform	main
2019-05-09	Goldman Sachs	Buy		init
2019-06-03	Morgan Stanley	Overweight		init
2019-07-30	Wells Fargo	Market Perform	Outperform	down
2019-07-30	Citigroup	Neutral		main
2019-08-21	Morgan Stanley	Overweight		main
2019-09-20	Barclays	Equal-Weight		init
2019-09-24	JP Morgan	Neutral		init
2019-09-26	Cowen & Co.	Outperform		main
2019-10-10	Morgan Stanley	Overweight		main
2020-01-29	Wells Fargo	Equal-Weight		main
2020-03-03	Wells Fargo	Overweight	Equal-Weight	up
2020-04-02	Stifel	Hold	Buy	down
2020-04-02	Wells Fargo	Overweight		main
2020-04-14	SunTrust Robinson Humphrey	Buy		main
2020-04-14	Morgan Stanley	Overweight		main
2020-04-20	Goldman Sachs	Neutral	Buy	down
2020-05-19	Wells Fargo	Overweight		main
2020-05-27	JP Morgan	Neutral		main
2020-07-08	Raymond James	Market Perform	Outperform	down
2020-08-03	Morgan Stanley	Overweight		main
2020-11-02	Credit Suisse	Outperform		main
2020-12-04	Morgan Stanley	Overweight		main
