	Holder	Shares	Date Reported	% Out	Value
0	Brookfield Asset Management Inc.	68749416	2020-09-29	0.2501	2408521184
1	FIL LTD	15751985	2020-09-29	0.057300000000000004	551844535
2	Royal Bank of Canada	8020366	2020-09-29	0.0292	280980152
3	Bank of Montreal/Can/	6600238	2020-09-29	0.024	231228335
4	CIBC Asset Management Inc.	4601199	2020-09-29	0.0167	161195336
5	TD Asset Management, Inc	4082113	2020-09-29	0.0149	143010024
6	Principal Financial Group, Inc.	3495158	2020-09-29	0.0127	122447034
7	Connor Clark & Lunn Investment Management Ltd	3465446	2020-09-29	0.0126	121406123
8	Toronto Dominion Bank	2734094	2020-09-29	0.009899999999999999	95784425
9	Scotia Capital Inc.	2306747	2020-09-29	0.0084	80813035
