	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	38567267	2020-06-29	0.0897	5742280383
1	Blackrock Inc.	32146335	2020-06-29	0.0748	4786267818
2	State Street Corporation	18939672	2020-06-29	0.044000000000000004	2819927764
3	Morgan Stanley	11547040	2020-06-29	0.0269	1719238785
4	AllianceBernstein, L.P.	11060546	2020-06-29	0.025699999999999997	1646804693
5	Bank Of New York Mellon Corporation	10811602	2020-06-29	0.025099999999999997	1609739421
6	Bank of America Corporation	9927284	2020-06-29	0.0231	1478073314
7	JP Morgan Chase & Company	9787091	2020-06-29	0.022799999999999997	1457199978
8	Wellington Management Company, LLP	9298294	2020-06-29	0.0216	1384422993
9	Wells Fargo & Company	9112561	2020-06-29	0.0212	1356769207
