2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	12.77
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	102
governanceScore	5.35
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	19.41
highestControversy	0
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	18.36
peerGroup	Software & Services
smallArms	False
environmentScore	1.28
governancePercentile	
militaryContract	False
