Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1970-01-02	0.9	0.93	0.9	0.92	10300	0.0	0
1970-01-05	0.92	0.93	0.91	0.93	17600	0.0	0
1970-01-06	0.93	0.94	0.92	0.92	14000	0.0	0
1970-01-07	0.92	0.93	0.91	0.93	7700	0.0	0
1970-01-08	0.92	0.92	0.91	0.91	16300	0.0	0
1970-01-09	0.91	0.93	0.91	0.92	16800	0.0	0
1970-01-12	0.92	0.92	0.91	0.91	11700	0.0	0
1970-01-13	0.91	0.91	0.89	0.89	15900	0.0	0
1970-01-14	0.89	0.89	0.87	0.89	37800	0.0	0
1970-01-15	0.89	0.89	0.88	0.88	23500	0.0	0
1970-01-16	0.88	0.9	0.88	0.88	23300	0.0	0
1970-01-19	0.88	0.9	0.88	0.9	12600	0.0	0
1970-01-20	0.9	0.9	0.88	0.88	19800	0.0	0
1970-01-21	0.88	0.9	0.88	0.89	22400	0.0	0
1970-01-22	0.89	0.92	0.89	0.91	25300	0.0	0
1970-01-23	0.91	0.91	0.88	0.88	11900	0.0	0
1970-01-26	0.88	0.89	0.87	0.87	12000	0.0	0
1970-01-27	0.87	0.87	0.86	0.87	12700	0.0	0
1970-01-28	0.87	0.87	0.84	0.85	26700	0.0	0
1970-01-29	0.85	0.85	0.83	0.84	26100	0.0	0
1970-01-30	0.84	0.85	0.83	0.83	15200	0.0	0
1970-02-02	0.84	0.87	0.84	0.85	27200	0.0	0
1970-02-03	0.85	0.85	0.83	0.85	23600	0.0	0
1970-02-04	0.86	0.87	0.85	0.86	21300	0.41	0
1970-02-05	0.86	0.86	0.85	0.85	13100	0.0	0
1970-02-06	0.86	0.87	0.86	0.86	15200	0.0	0
1970-02-09	0.86	0.88	0.86	0.86	15300	0.0	0
1970-02-10	0.86	0.86	0.84	0.84	36400	0.0	0
1970-02-11	0.84	0.85	0.83	0.85	24400	0.0	0
1970-02-12	0.85	0.85	0.84	0.85	17500	0.0	0
1970-02-13	0.85	0.85	0.84	0.85	27700	0.0	0
1970-02-16	0.85	0.86	0.83	0.83	22700	0.0	0
1970-02-17	0.83	0.85	0.83	0.83	22600	0.0	0
1970-02-18	0.84	0.86	0.84	0.86	16800	0.0	0
1970-02-19	0.86	0.87	0.85	0.85	17900	0.0	0
