	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	62565773	2020-06-29	0.08779999999999999	2254244801
1	Japan Post Holdings Co., Ltd.	52300000	2020-06-29	0.07339999999999999	1884369000
2	Blackrock Inc.	47668518	2020-06-29	0.0669	1717496703
3	State Street Corporation	35698819	2020-06-29	0.0501	1286228448
4	Wells Fargo & Company	15881463	2020-06-29	0.0223	572209111
5	Geode Capital Management, LLC	10610597	2020-06-29	0.0149	382299809
6	Northern Trust Corporation	8772188	2020-06-29	0.0123	316061933
7	Boston Partners	8637762	2020-06-29	0.0121	311218564
8	American Century Companies, Inc.	7170843	2020-06-29	0.0101	258365473
9	Norges Bank Investment Management	6618879	2019-12-30	0.009300000000000001	350138699
