	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	4735993	2020-06-29	0.0823	20317409
1	Blackrock Inc.	3804394	2020-06-29	0.0661	16320850
2	Mittleman Investment Management, LLC	2209334	2020-06-29	0.0384	9478042
3	Invesco Ltd.	1643282	2020-06-29	0.0286	7049679
4	Dimensional Fund Advisors LP	1363628	2020-06-29	0.023700000000000002	5849964
5	State Street Corporation	1163053	2020-06-29	0.0202	4989497
6	Charles Schwab Investment Management, Inc.	1150592	2020-06-29	0.02	4936039
7	Geode Capital Management, LLC	738790	2020-06-29	0.0128	3169409
8	Northern Trust Corporation	727657	2020-06-29	0.0126	3121648
9	Goldman Sachs Group, Inc.	642434	2020-06-29	0.011200000000000002	2756041
