	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	48866168	2020-06-29	0.0834	11525574384
1	Blackrock Inc.	48729584	2020-06-29	0.0832	11493359682
2	Capital Research Global Investors	33361674	2020-06-29	0.057	7868684429
3	State Street Corporation	26262358	2020-06-29	0.044800000000000006	6194239757
4	Primecap Management Company	17962930	2020-06-29	0.030699999999999998	4236736669
5	FMR, LLC	17094295	2020-06-29	0.0292	4031860418
6	Geode Capital Management, LLC	10029477	2020-06-29	0.0171	2365552445
7	Nordea Investment Management Ab	8358990	2020-06-29	0.0143	1971551381
8	Morgan Stanley	8004598	2020-06-29	0.0137	1887964484
9	Northern Trust Corporation	7978410	2020-06-29	0.013600000000000001	1881787782
