Date	Firm	To Grade	From Grade	Action
2011-12-09	Evercore Partners			main
2012-03-16	Deutsche Bank	Hold		down
2012-03-20	UBS	Neutral		main
2012-04-03	Deutsche Bank	Hold		main
2012-04-18	ISI Group	Buy		main
2012-04-18	UBS	Neutral		main
2012-04-20	Goldman Sachs	Neutral		main
2012-05-03	BGB Securities	Sell		init
2012-06-04	Citigroup	Neutral		down
2012-06-07	UBS	Neutral		main
2012-06-21	Deutsche Bank	Hold		main
2012-07-09	Goldman Sachs	Sell	Neutral	down
2012-07-10	BGB Securities	Hold	Sell	up
2012-07-11	Topeka	Hold		main
2012-07-18	Barclays	Overweight		main
2012-07-18	UBS	Neutral		main
2012-09-11	BMO Capital	Outperform		main
2012-09-11	Credit Suisse	Neutral		main
2012-09-21	Sterne Agee	Buy		init
2012-11-16	Compass Point	Neutral		init
2012-12-19	William Blair	Outperform		init
2013-01-14	Sterne Agee	Neutral	Buy	down
2013-01-22	Sterne Agee	Neutral		main
2013-01-23	Barclays	Overweight		main
2013-01-23	UBS	Neutral		main
2013-01-23	Nomura	Neutral		main
2013-01-23	Compass Point	Neutral		main
2013-01-23	Keefe, Bruyette & Woods	Market Perform	Outperform	down
2013-02-11	ISI Group	Buy		main
2013-03-11	Sterne Agee	Neutral		main
2013-04-09	Sterne Agee	Neutral		main
2013-05-15	Barclays	Equal-Weight	Overweight	down
2013-05-20	Keefe Bruyette & Woods	Underperform	Market Perform	down
2013-07-08	Citigroup	Buy	Neutral	up
2013-07-08	Citigroup	Buy	Neutral	up
2013-07-22	BMO Capital	Market Perform	Outperform	down
2013-07-22	BMO Capital	Market Perform	Outperform	down
2013-07-23	Credit Suisse	Neutral	Neutral	main
2013-07-24	Compass Point	Neutral		main
2013-07-24	Goldman Sachs	Neutral	Sell	up
2013-10-09	Keefe Bruyette & Woods	Market Perform	Underperform	up
2013-10-29	Keefe Bruyette & Woods	Market Perform	Underperform	up
2013-11-11	Raymond James	Outperform	Market Perform	up
2014-01-07	Citigroup	Neutral	Buy	down
2014-01-09	Nomura	Neutral		init
2014-01-21	S&P Capital IQ	Hold	Sell	up
2014-01-22	Compass Point	Neutral		main
2014-04-09	Citigroup	Neutral		main
2014-04-10	Citigroup	Neutral		main
2014-04-11	Barclays	Overweight	Equal-Weight	up
2014-04-14	UBS	Buy	Neutral	up
2014-04-14	Keefe, Bruyette & Woods	Outperform	Market Perform	up
2014-04-24	UBS	Buy		main
