	Holder	Shares	Date Reported	% Out	Value
0	Luxor Capital Group, LP	6925083	2020-06-29	0.0934	84139758
1	FMR, LLC	6583917	2020-06-29	0.0888	79994591
2	Vanguard Group, Inc. (The)	6147259	2020-06-29	0.08289999999999999	74689196
3	Renaissance Technologies, LLC	5452796	2020-06-29	0.0735	66251471
4	Durable Capital Partners LP	5088370	2020-06-29	0.06860000000000001	61823695
5	Scopus Asset Management, LLC	3675037	2020-06-29	0.0496	44651699
6	ShawSpring Partners LLC	3062583	2020-06-29	0.041299999999999996	37210383
7	Morgan Stanley	2863927	2020-06-29	0.038599999999999995	34796713
8	Ulysses Management LLC	2565693	2020-06-29	0.0346	31173169
9	Schroder Investment Management Group	2512158	2020-06-29	0.0339	30522719
