Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1979-05-15	1.97	2.0	1.95	1.97	22000	0.0	1.3333333333333333
1979-05-16	1.99	2.12	1.99	2.11	65600	0.0	0.0
1979-05-17	2.11	2.13	2.11	2.13	57200	0.0	0.0
1979-05-18	2.13	2.21	2.13	2.2	118600	0.0	0.0
1979-05-21	2.2	2.25	2.17	2.24	106200	0.0	0.0
1979-05-22	2.24	2.29	2.24	2.27	127000	0.0	0.0
1979-05-23	2.27	2.27	2.2	2.2	85400	0.0	0.0
1979-05-24	2.2	2.21	2.15	2.17	80200	0.0	0.0
1979-05-25	2.17	2.21	2.15	2.2	63200	0.0	0.0
1979-05-29	2.2	2.32	2.2	2.28	122800	0.0	0.0
1979-05-30	2.32	2.43	2.32	2.41	113600	0.0	0.0
1979-05-31	2.4	2.4	2.36	2.4	80200	0.0	0.0
1979-06-01	2.4	2.43	2.4	2.4	103000	0.0	0.0
1979-06-04	2.4	2.47	2.4	2.45	70600	0.0	0.0
1979-06-05	2.47	2.57	2.47	2.53	135800	0.0	0.0
1979-06-06	2.56	2.64	2.56	2.59	147800	0.0	0.0
1979-06-07	2.59	2.63	2.57	2.57	141400	0.0	0.0
1979-06-08	2.57	2.61	2.51	2.55	53200	0.0	0.0
1979-06-11	2.55	2.57	2.51	2.56	48600	0.0	0.0
1979-06-12	2.56	2.57	2.53	2.55	47800	0.0	0.0
1979-06-13	2.55	2.56	2.45	2.48	75600	0.0	0.0
1979-06-14	2.48	2.52	2.43	2.48	58200	0.0	0.0
1979-06-15	2.51	2.6	2.51	2.56	106800	0.0	0.0
1979-06-18	2.56	2.56	2.51	2.53	34600	0.0	0.0
1979-06-19	2.53	2.56	2.51	2.56	113600	0.0	0.0
1979-06-20	2.56	2.6	2.56	2.57	151800	0.0	0.0
1979-06-21	2.57	2.57	2.52	2.55	388800	0.0	0.0
1979-06-22	2.55	2.55	2.49	2.53	69800	0.0	0.0
1979-06-25	2.53	2.53	2.37	2.43	73400	0.0	0.0
1979-06-26	2.43	2.48	2.41	2.44	77000	0.0	0.0
1979-06-27	2.44	2.51	2.44	2.47	123800	0.0	0.0
1979-06-28	2.47	2.49	2.41	2.44	63200	0.0	0.0
1979-06-29	2.44	2.51	2.44	2.51	135200	0.0	0.0
1979-07-02	2.51	2.52	2.45	2.45	40200	0.0	0.0
1979-07-03	2.45	2.49	2.45	2.49	44800	0.0	0.0
1979-07-05	2.49	2.49	2.45	2.49	17800	0.0	0.0
1979-07-06	2.49	2.53	2.48	2.51	98400	0.0	0.0
1979-07-09	2.55	2.81	2.55	2.81	223200	0.0	0.0
1979-07-10	2.81	2.83	2.68	2.72	168600	0.0	0.0
1979-07-11	2.72	2.72	2.65	2.67	172600	0.0	0.0
1979-07-12	2.67	2.69	2.64	2.65	85400	0.0	0.0
1979-07-13	2.63	2.63	2.53	2.56	89400	0.0	0.0
1979-07-16	2.56	2.59	2.52	2.59	26200	0.0	0.0
1979-07-17	2.59	2.59	2.47	2.47	58200	0.0	0.0
1979-07-18	2.44	2.44	2.36	2.43	81800	0.0	0.0
1979-07-19	2.43	2.49	2.39	2.45	34600	0.0	0.0
1979-07-20	2.45	2.45	2.41	2.41	19800	0.0	0.0
1979-07-23	2.41	2.48	2.41	2.44	47800	0.0	0.0
1979-07-24	2.47	2.51	2.47	2.51	24000	0.0	0.0
1979-07-25	2.51	2.55	2.51	2.52	23600	0.0	0.0
1979-07-26	2.52	2.53	2.51	2.51	22000	0.0	0.0
1979-07-27	2.51	2.53	2.49	2.49	40200	0.0	0.0
1979-07-30	2.49	2.49	2.44	2.44	79000	0.0	0.0
1979-07-31	2.44	2.47	2.44	2.47	69400	0.0	0.0
1979-08-01	2.47	2.53	2.47	2.49	53200	0.0	0.0
1979-08-02	2.49	2.53	2.47	2.53	98400	0.0	0.0
1979-08-03	2.53	2.53	2.49	2.51	61000	0.0	0.0
1979-08-06	2.51	2.53	2.49	2.51	40200	0.0	0.0
1979-08-07	2.51	2.55	2.51	2.53	42400	0.0	0.0
1979-08-08	2.56	2.64	2.56	2.6	78000	0.0	0.0
1979-08-09	2.6	2.64	2.57	2.63	34600	0.0	0.0
1979-08-10	2.63	2.63	2.55	2.56	40600	0.0	0.0
1979-08-13	2.56	2.61	2.56	2.59	40200	0.0	0.0
1979-08-14	2.59	2.6	2.55	2.56	40600	0.0	0.0
1979-08-15	2.56	2.6	2.52	2.59	54000	0.0	0.0
