	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	54275112	2020-06-29	0.1438	732714012
1	Vanguard Group, Inc. (The)	43803337	2020-06-29	0.1161	591345049
2	Blackrock Inc.	23871826	2020-06-29	0.0632	322269651
3	State Street Corporation	22290541	2020-06-29	0.0591	300922303
4	Hotchkis & Wiley Capital Management, LLC	18486044	2020-06-29	0.049	249561594
5	Harris Associates L.P.	17511660	2020-06-29	0.0464	236407410
6	Orbis Allan Gray Ltd	15630190	2020-06-29	0.0414	211007565
7	FMR, LLC	8399276	2020-06-29	0.0223	113390226
8	Invesco Ltd.	7396676	2020-06-29	0.0196	99855126
9	Arrowstreet Capital, Limited Partnership	6684476	2020-06-29	0.0177	90240426
