	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	9648405	2020-06-29	0.022799999999999997	139419452
1	Royal Bank of Canada	7725964	2020-06-29	0.0183	111640179
2	OMERS Administration Corporation	4789260	2020-06-29	0.0113	69204807
3	Confluence Investment Management Llc	4538913	2020-06-29	0.010700000000000001	65587292
4	Wells Fargo & Company	4133569	2020-06-29	0.0098	59730072
5	Arrowstreet Capital, Limited Partnership	3871756	2020-06-29	0.0092	55946874
6	Ameriprise Financial, Inc.	3639170	2020-06-29	0.0086	52586006
7	Legal & General Group PLC	3257392	2020-06-29	0.0077	47069314
8	Lord Abbett & Co	2958225	2020-06-29	0.006999999999999999	42746351
9	Bank of America Corporation	2834759	2020-06-29	0.0067	40962267
