	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	6652269	2020-06-29	0.1032	744921082
1	Blackrock Inc.	5568758	2020-06-29	0.0864	623589520
2	State Farm Mutual Automobile Insurance Co	5556069	2020-06-29	0.0862	622168606
3	Atlanta Capital Management Company LLC	3472038	2020-06-29	0.053899999999999997	388798815
4	JP Morgan Chase & Company	2265709	2020-06-29	0.0351	253714093
5	State Street Corporation	2199226	2020-06-29	0.0341	246269327
6	Champlain Investment Partners, LLC	1896390	2020-06-29	0.0294	212357752
7	Victory Capital Management Inc.	1666298	2020-06-29	0.0258	186592050
8	Wells Fargo & Company	1557706	2020-06-29	0.0242	174431917
9	Neuberger Berman Group, LLC	1527240	2020-06-29	0.023700000000000002	171020335
