Date	Firm	To Grade	From Grade	Action
2012-03-27 08:01:00	Stifel Nicolaus	Buy		init
2012-03-30 12:21:00	Ascendiant Capital	Buy		init
2012-05-08 10:14:00	National Alliance	Accumulate		main
2012-05-10 07:00:00	PiperJaffray	Neutral		main
2012-05-10 09:52:00	National Alliance	Buy		up
2012-05-11 06:08:00	Indaba Global Research	Buy		init
2012-09-04 16:10:00	Jefferies	Buy		init
2012-09-06 05:45:00	PiperJaffray	Overweight	Neutral	up
2012-10-11 06:20:00	Credit Suisse	Outperform		init
2012-11-29 09:41:00	Brean Capital	Buy		main
2013-01-10 07:55:23	Stifel Nicolaus	Buy		main
2013-02-08 07:13:10	Sterne Agee	Buy	Neutral	up
2013-03-15 07:39:58	Stifel Nicolaus	Buy		main
2013-03-26 09:41:19	Wedbush	Outperform		main
2013-04-02 06:40:14	UBS	Buy		init
2013-05-09 06:38:55	Brean Capital	Buy		main
2013-05-09 13:04:36	Hilliard Lyons	Long-Term Buy	Buy	down
2013-05-10 10:38:23	Hilliard Lyons	Long-Term Buy	Buy	down
2013-07-26 15:51:19	Brean Capital	Buy		main
2013-07-29 08:40:31	Stifel Nicolaus	Buy		main
2013-08-02 06:50:07	Brean Capital	Buy		main
2013-08-02 08:58:30	UBS	Buy		main
2013-08-07 09:29:45	Benchmark	Buy		init
2013-10-21 09:15:18	Barclays	Overweight		init
2013-11-07 08:33:55	Jefferies	Buy		main
2013-11-07 09:12:47	Benchmark	Buy		main
2014-01-10 07:01:05	Stifel Nicolaus	Buy		main
2014-01-17 16:00:00	CRT Capital	Buy		init
2014-02-07 06:36:47	Brean Capital	Buy		main
2014-02-07 07:31:19	Bank of America	Neutral		main
2014-02-10 06:43:08	Stifel Nicolaus	Buy		main
2014-03-13 06:28:03	Bank of America	Buy		up
2014-04-21 06:17:17	Brean Capital	Buy		main
2014-05-07 06:25:28	Brean Capital	Buy		main
2014-05-07 09:11:26	Wedbush	Outperform		main
2014-05-07 23:42:52	Credit Suisse	Outperform		main
2014-05-08 00:15:36	Stifel Nicolaus	Buy		main
2014-08-06 21:00:33	Barclays	Overweight		main
2014-08-06 23:05:10	Macquarie	Outperform		main
2014-08-08 06:25:35	Longbow Research	Buy	Neutral	up
2014-10-24 09:00:00	Stifel Nicolaus	Buy		main
