Date	Firm	To Grade	From Grade	Action
2012-02-23 06:53:00	Citigroup	Buy		main
2012-05-16 07:29:00	Citigroup	Buy		main
2012-05-23 06:42:00	JP Morgan	Neutral		main
2012-07-24 05:45:00	Canaccord Genuity	Buy		init
2012-08-02 05:57:00	Goldman Sachs	Neutral		init
2012-08-13 11:31:00	UBS	Buy		init
2012-08-14 06:24:00	Citigroup	Buy		main
2012-08-17 06:27:00	Canaccord Genuity	Buy		main
2012-08-17 08:18:00	Canaccord Genuity	Buy		main
2012-09-04 12:58:00	Barclays	Overweight		main
2012-10-03 09:42:00	Capstone	Buy		init
2012-11-05 08:09:00	DA Davidson	Neutral	Buy	down
2012-11-27 08:08:00	DA Davidson	Neutral		main
2012-11-30 07:37:02	DA Davidson	Neutral		main
2012-12-13 06:19:36	Goldman Sachs	Buy	Neutral	up
2013-01-09 07:38:08	Topeka	Buy		init
2013-02-27 07:37:15	DA Davidson	Neutral		main
2013-05-30 08:37:21	Deutsche Bank	Buy		main
2013-07-02 06:45:39	Morgan Stanley	Overweight		init
2013-07-11 06:30:55	Jefferies	Hold	Buy	down
2013-07-25 07:00:00	Citigroup	Neutral	Buy	down
2013-08-15 08:55:34	Brean Capital	Hold	Buy	down
2013-08-27 08:40:12	JMP Securities	Market Perform		init
2013-08-28 07:35:27	Nomura	Buy		main
2013-08-28 07:59:54	Canaccord Genuity	Buy		main
2013-08-28 10:21:16	DA Davidson	Neutral		main
2013-09-17 09:10:18	JMP Securities	Market Outperform	Market Perform	up
2013-10-03 16:00:00	Charter Equity	Buy	Strong Buy	down
2013-10-18 06:49:28	Goldman Sachs	Conviction Buy	Buy	up
2013-11-12 08:57:03	MKM Partners	Buy		init
2013-12-02 07:51:04	DA Davidson	Buy	Neutral	up
2013-12-04 09:35:25	Citigroup	Neutral		main
2013-12-12 16:00:00	Oppenheimer	Outperform		init
2013-12-16 13:04:40	DA Davidson	Buy		main
2013-12-17 07:41:24	Nomura	Buy		main
2014-02-12 07:07:50	Nomura	Buy		main
2014-02-13 16:00:00	JMP Securities	Market Perform	Market Outperform	down
2014-02-14 16:00:00	DA Davidson	Neutral	Buy	down
2014-02-25 08:00:00	Raymond James	Outperform		init
2014-03-28 07:19:01	Pacific Crest	Outperform		init
2014-04-07 09:34:59	Goldman Sachs	Buy		main
2014-05-09 06:01:25	Pacific Crest	Outperform	Outperform	main
2014-05-13 20:53:15	Nomura	Buy		main
2014-05-14 06:44:30	Deutsche Bank	Buy		init
2014-05-30 20:37:21	Raymond James	Outperform		main
2014-07-14 19:25:11	Citigroup	Buy		main
2014-08-29 09:00:00	Oppenheimer	Outperform		main
2014-09-09 09:00:00	Barclays	Overweight		main
2014-09-30 08:00:00	Nomura			main
2014-10-06 09:00:00	Canaccord Genuity	Buy		main
2014-10-16 14:19:13	Brean Capital	Buy	Hold	up
2014-11-25 04:40:47	Morgan Stanley	Overweight		main
2014-12-02 00:00:00	Brean Capital	Buy		main
2014-12-04 04:19:46	Morgan Stanley	Overweight		main
2014-12-04 04:27:45	Credit Suisse	Outperform		main
2014-12-04 05:12:31	Brean Capital	Buy		main
2014-12-04 07:55:25	DA Davidson	Neutral		main
2014-12-04 08:12:08	Citigroup	Buy		main
2014-12-04 08:36:58	Oppenheimer	Outperform		main
2014-12-04 09:00:00	Jefferies	Hold		main
2014-12-11 09:00:00	Barclays	Overweight		main
2015-02-26 09:00:00	Nomura	Buy		main
