	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	44569176	2020-06-29	0.08800000000000001	3837406053
1	Vanguard Group, Inc. (The)	39980621	2020-06-29	0.079	3442331468
2	Wellington Management Company, LLP	28847584	2020-06-29	0.057	2483776982
3	State Street Corporation	24037245	2020-06-29	0.0475	2069606794
4	Morgan Stanley	19537042	2020-06-29	0.038599999999999995	1682139316
5	FMR, LLC	12570932	2020-06-29	0.0248	1082357245
6	Generation Investment Management LLP	10606094	2020-06-29	0.021	913184693
7	Capital International Investors	9065473	2020-06-29	0.0179	780537225
8	Veritas Asset Management LLP	8942428	2020-06-29	0.0177	769943050
9	Northern Trust Corporation	8495772	2020-06-29	0.0168	731485969
