	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	13160532	2020-06-29	0.0481	1577816181
1	Vanguard Group, Inc. (The)	9832984	2020-06-29	0.0359	1178876451
2	Renaissance Technologies, LLC	9663857	2020-06-29	0.0353	1158599815
3	Artisan Partners Limited Partnership	8624459	2020-06-29	0.0315	1033986389
4	Primecap Management Company	8087705	2020-06-29	0.029500000000000002	969634952
5	Dodge & Cox Inc	6803321	2020-06-29	0.0248	815650154
6	State Street Corporation	6118880	2020-06-29	0.0223	733592523
7	Causeway Capital Management LLC	6081490	2020-06-29	0.0222	729109836
8	Baillie Gifford and Company	4426509	2020-06-29	0.016200000000000003	530694164
9	Price (T.Rowe) Associates Inc	4414974	2020-06-29	0.0161	529311232
