2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	1.29
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	11
governanceScore	4.07
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	15.38
highestControversy	1
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	7.87
peerGroup	Containers & Packaging
smallArms	False
environmentScore	10.02
governancePercentile	
militaryContract	False
