2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	12.52
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	15.05
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	30.12
highestControversy	2
esgPerformance	OUT_PERF
coal	False
pesticides	False
adult	False
percentile	57.26
peerGroup	Diversified Financials
smallArms	False
environmentScore	2.55
governancePercentile	
militaryContract	False
