Date	Firm	To Grade	From Grade	Action
2012-02-29 06:32:00	Citigroup	Neutral		main
2012-03-01 10:56:00	UBS	Buy		main
2012-03-08 06:44:00	Bank oferica	Buy		main
2012-03-12 06:52:00	Benchmark	Buy		main
2012-03-14 06:12:00	JP Morgan	Neutral		down
2012-03-14 09:43:00	Goldman Sachs	Neutral		down
2012-03-16 07:03:00	Credit Suisse	Neutral		init
2012-03-26 08:04:00	Stifel Nicolaus	Buy		main
2012-04-11 06:32:00	Deutsche Bank	Buy		main
2012-04-27 06:41:00	Morgan Stanley	Overweight		main
2012-04-27 07:55:00	Deutsche Bank	Buy		main
2012-04-27 10:38:00	UBS	Buy		main
2012-04-30 12:26:00	PiperJaffray	Neutral		main
2012-07-24 06:29:00	Morgan Stanley	Overweight		main
2012-07-26 06:57:00	Benchmark	Buy		main
2012-07-26 15:33:00	Bank of America	Buy		main
2012-07-27 07:00:00	Deutsche Bank	Buy		main
2012-07-27 07:05:00	Morgan Stanley	Overweight		main
2012-07-27 08:46:00	Stifel Nicolaus	Buy		main
2012-07-31 08:06:00	PiperJaffray	Neutral		main
2012-09-24 09:49:00	Macquarie	Neutral	Outperform	down
2012-10-08 10:08:00	Citigroup	Neutral		main
2012-10-11 07:51:00	Nomura	Buy		init
2012-10-17 12:13:00	Barclays	Overweight		main
2012-10-26 10:37:00	UBS	Buy		main
2012-11-02 16:53:00	PiperJaffray	Neutral		main
2012-12-03 15:53:58	Goldman Sachs	Neutral		main
2012-12-19 09:03:39	Morgan Stanley	Overweight		main
2013-01-02 09:23:45	Citigroup	Neutral		main
2013-01-08 08:06:47	Stifel Nicolaus	Buy		main
2013-01-10 09:27:04	Evercore Partners	Overweight	Equal-Weight	up
2013-01-15 08:48:09	Deutsche Bank	Buy		main
2013-01-28 14:27:57	Deutsche Bank	Sell	Buy	down
2013-04-25 11:47:10	Macquarie	Outperform	Neutral	up
2013-05-17 07:55:54	Barclays	Equal-Weight		init
2013-07-09 08:58:43	Evercore Partners	Equal-Weight	Overweight	down
2013-09-06 08:26:05	Stifel Nicolaus	Buy		main
