Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2012-05-03	12.56	12.82	12.48	12.59	13298700	0.0	0
2012-05-04	12.59	12.61	12.56	12.59	6276200	0.0	0
2012-05-07	12.6	12.61	12.56	12.57	2800000	0.0	0
2012-05-08	12.57	12.59	12.56	12.56	6862700	0.0	0
2012-05-09	12.56	12.6	12.0	12.42	4307200	0.0	0
2012-05-10	12.28	12.42	12.28	12.4	464000	0.0	0
2012-05-11	12.4	12.46	12.08	12.19	267000	0.0	0
2012-05-14	12.08	12.24	11.98	12.01	357900	0.0	0
2012-05-15	12.12	12.21	11.99	12.06	521000	0.0	0
2012-05-16	12.04	12.33	12.0	12.32	313200	0.0	0
2012-05-17	12.16	12.28	11.99	12.05	329700	0.0	0
2012-05-18	11.99	12.22	11.99	12.05	343900	0.0	0
2012-05-21	12.56	12.56	11.99	12.02	130500	0.0	0
2012-05-22	12.02	12.14	11.56	11.99	334000	0.0	0
2012-05-23	11.89	11.96	11.42	11.5	510000	0.0	0
2012-05-24	11.52	11.77	11.42	11.64	204300	0.0	0
2012-05-25	11.57	12.33	11.57	12.28	306000	0.0	0
2012-05-29	12.41	12.41	11.97	12.02	97000	0.0	0
2012-05-30	11.89	12.22	11.6	12.11	157300	0.0	0
2012-05-31	12.04	12.1	11.82	12.06	366700	0.0	0
2012-06-01	11.8	12.22	11.8	12.0	347700	0.0	0
2012-06-04	12.09	12.09	11.7	11.97	116900	0.0	0
2012-06-05	11.6	12.04	11.6	11.96	231500	0.0	0
2012-06-06	12.05	12.21	11.6	12.21	165900	0.0	0
2012-06-07	12.28	12.37	12.12	12.33	162500	0.0	0
2012-06-08	12.37	12.49	12.2	12.42	1368100	0.0	0
2012-06-11	12.45	12.5	12.16	12.23	177200	0.0	0
2012-06-12	12.42	12.57	12.35	12.45	389800	0.0	0
2012-06-13	12.37	12.5	12.37	12.49	165500	0.0	0
2012-06-14	12.53	12.6	12.31	12.44	221600	0.0	0
2012-06-15	12.49	12.53	12.38	12.53	97200	0.0	0
2012-06-18	12.55	12.55	12.41	12.48	95200	0.0	0
2012-06-19	12.48	12.52	12.38	12.44	174200	0.0	0
2012-06-20	12.48	12.53	12.4	12.49	394900	0.0	0
2012-06-21	12.51	12.58	12.28	12.45	168200	0.0	0
2012-06-22	12.54	12.57	12.41	12.48	42500	0.0	0
2012-06-25	12.53	12.56	12.28	12.5	45800	0.0	0
2012-06-26	12.54	12.56	12.34	12.34	232700	0.0	0
2012-06-27	12.45	12.55	12.33	12.41	91600	0.0	0
2012-06-28	12.26	12.65	12.18	12.65	907700	0.0	0
2012-06-29	12.73	12.81	12.65	12.81	171500	0.0	0
2012-07-02	12.82	13.13	12.79	13.08	475000	0.0	0
2012-07-03	13.1	13.14	13.08	13.1	92700	0.0	0
2012-07-05	13.05	13.41	13.05	13.18	92000	0.0	0
2012-07-06	13.57	13.57	13.16	13.21	62800	0.0	0
2012-07-09	13.16	13.33	13.06	13.27	117200	0.0	0
2012-07-10	13.34	13.34	13.17	13.17	103300	0.0	0
2012-07-11	13.28	13.39	13.19	13.24	114900	0.0	0
2012-07-12	13.35	13.41	12.88	12.98	95400	0.0	0
2012-07-13	13.0	13.22	13.0	13.18	130900	0.0	0
2012-07-16	13.22	13.28	13.14	13.2	87700	0.0	0
2012-07-17	13.32	13.33	13.06	13.16	103600	0.0	0
2012-07-18	13.15	13.26	13.03	13.09	49600	0.0	0
2012-07-19	13.17	13.29	13.13	13.13	39800	0.0	0
2012-07-20	13.09	13.38	13.0	13.37	110600	0.0	0
2012-07-23	13.34	13.39	12.91	13.09	181400	0.0	0
2012-07-24	13.3	13.67	13.29	13.34	211900	0.0	0
2012-07-25	13.41	13.65	13.14	13.54	91300	0.0	0
2012-07-26	13.57	13.7	13.4	13.7	74100	0.0	0
2012-07-27	13.7	13.99	13.63	13.79	181200	0.0	0
2012-07-30	13.95	13.99	13.66	13.82	164400	0.0	0
2012-07-31	13.7	14.0	13.7	13.95	723400	0.0	0
2012-08-01	13.97	14.18	13.66	13.71	69800	0.0	0
2012-08-02	13.65	13.85	13.27	13.63	70400	0.0	0
2012-08-03	13.98	13.99	13.7	13.91	51600	0.0	0
2012-08-06	14.1	14.21	13.59	13.86	138300	0.0	0
2012-08-07	14.27	14.41	13.71	13.97	261600	0.0	0
2012-08-08	13.82	14.07	13.5	13.9	266800	0.0	0
2012-08-09	14.07	14.82	13.54	13.71	140700	0.0	0
2012-08-10	13.76	13.91	13.56	13.58	133100	0.0	0
2012-08-13	13.66	14.33	13.64	14.26	40000	0.0	0
2012-08-14	14.19	14.41	13.93	14.23	73900	0.0	0
2012-08-15	14.1	14.32	13.99	14.22	142400	0.0	0
2012-08-16	14.45	14.45	14.21	14.33	239000	0.11	0
2012-08-17	14.37	14.41	14.31	14.37	150200	0.0	0
2012-08-20	14.62	14.62	13.99	14.03	32300	0.0	0
2012-08-21	14.17	14.46	14.06	14.34	85600	0.0	0
2012-08-22	14.61	14.61	14.09	14.33	157600	0.0	0
2012-08-23	14.34	14.45	14.24	14.39	66600	0.0	0
2012-08-24	14.44	14.57	14.34	14.4	39000	0.0	0
2012-08-27	14.48	14.52	14.37	14.48	21300	0.0	0
2012-08-28	14.52	14.91	14.39	14.59	127100	0.0	0
2012-08-29	14.88	14.88	14.56	14.79	57000	0.0	0
2012-08-30	14.89	14.91	14.69	14.84	111400	0.0	0
2012-08-31	14.99	15.09	14.8	15.04	162900	0.0	0
2012-09-04	16.0	16.0	14.77	15.07	253000	0.0	0
2012-09-05	15.14	15.26	14.78	15.11	171400	0.0	0
2012-09-06	15.03	15.26	15.03	15.03	140700	0.0	0
2012-09-07	15.26	15.4	15.03	15.18	296900	0.0	0
2012-09-10	15.25	15.25	15.08	15.18	145700	0.0	0
2012-09-11	15.14	15.36	15.13	15.25	102900	0.0	0
2012-09-12	15.93	15.98	15.28	15.42	148400	0.0	0
2012-09-13	15.2	15.42	15.14	15.32	223500	0.0	0
2012-09-14	15.31	15.57	15.2	15.5	193300	0.0	0
2012-09-17	15.54	15.71	15.26	15.63	136100	0.0	0
2012-09-18	15.51	15.63	15.42	15.55	98100	0.0	0
2012-09-19	15.55	15.57	15.34	15.38	87900	0.0	0
2012-09-20	15.37	15.48	14.97	15.2	155000	0.0	0
2012-09-21	15.24	15.48	15.15	15.15	52100	0.0	0
2012-09-24	15.2	15.48	15.0	15.01	49300	0.0	0
2012-09-25	15.05	15.14	14.77	14.82	64500	0.0	0
2012-09-26	14.85	14.88	14.53	14.73	82000	0.0	0
2012-09-27	14.69	14.84	14.64	14.83	77000	0.0	0
2012-09-28	14.65	15.39	14.65	15.05	266800	0.0	0
2012-10-01	15.03	15.03	14.89	14.98	59100	0.0	0
2012-10-02	15.03	15.03	14.62	14.7	119800	0.0	0
2012-10-03	14.7	15.02	14.62	14.68	155800	0.0	0
2012-10-04	14.69	15.01	14.66	14.72	52300	0.0	0
2012-10-05	14.83	15.44	14.77	14.83	143500	0.0	0
2012-10-08	14.64	14.76	14.57	14.69	204200	0.0	0
2012-10-09	14.65	14.85	14.56	14.77	69200	0.0	0
2012-10-10	14.83	15.07	14.81	15.03	173000	0.0	0
2012-10-11	15.03	15.07	14.91	15.02	58300	0.0	0
2012-10-12	15.09	15.23	14.65	14.71	101000	0.0	0
2012-10-15	14.73	15.13	14.71	15.03	94900	0.0	0
2012-10-16	15.23	15.23	14.74	14.93	106900	0.0	0
2012-10-17	14.99	15.12	14.8	15.09	84500	0.0	0
2012-10-18	15.17	15.17	14.91	15.09	111700	0.0	0
