Date	Firm	To Grade	From Grade	Action
2012-07-24	Barclays	Equal-Weight		main
2012-10-08	Citigroup	Neutral	Buy	down
2012-10-12	Oppenheimer	Perform		init
2012-11-09	Nomura	Neutral		main
2012-12-12	Bank of America	Neutral		init
2012-12-21	JP Morgan	Overweight		main
2013-01-11	BMO Capital	Market Perform		init
2013-02-06	Citigroup	Buy	Neutral	up
2013-02-22	BMO Capital	Market Perform		main
2013-02-25	JP Morgan	Overweight		main
2013-04-03	Bank of America	Buy	Neutral	up
2013-04-12	JP Morgan	Overweight		main
2013-05-13	UBS	Neutral	Buy	down
2013-05-15	Barclays	Equal-Weight		main
2013-08-08	Citigroup	Neutral	Buy	down
2013-11-07	BMO Capital	Market Perform		main
2013-11-12	Citigroup	Neutral		main
2013-11-14	Goldman Sachs	Buy	Neutral	up
2014-01-29	Deutsche Bank	Buy		init
2014-02-20	Citigroup	Buy	Neutral	up
2014-03-26	UBS	Buy	Neutral	up
2014-03-26	UBS	Buy	Neutral	up
2014-04-09	Citigroup	Buy		main
2014-04-09	Oppenheimer	Outperform	Market Perform	down
2014-04-10	Citigroup	Buy		main
2014-04-29	JP Morgan	Overweight		main
2014-05-01	Oppenheimer	Outperform		main
2014-05-01	Deutsche Bank	Buy		main
2014-05-01	Citigroup	Buy		main
2014-05-12	Goldman Sachs	Neutral	Buy	down
2014-06-16	JP Morgan	Overweight		main
2014-07-09	Citigroup	Neutral	Buy	down
2014-10-08	Citigroup	Neutral		main
2014-10-14	Keefe Bruyette & Woods	Outperform		main
2014-10-14	Deutsche Bank	Buy		main
2014-10-30	Bank of America	Neutral		down
2014-10-30	Deutsche Bank	Buy		main
2014-10-30	Keefe Bruyette & Woods	Outperform		main
2014-10-30	Citigroup	Neutral		main
2014-12-04	Barclays	Equal-Weight		init
2014-12-12	Deutsche Bank	Buy		main
2015-01-13	Barclays	Equal-Weight		main
2015-02-12	Keefe Bruyette & Woods	Outperform		main
2015-02-12	Deutsche Bank	Buy		main
2015-02-18	Citigroup	Buy	Neutral	up
2015-03-06	Deutsche Bank	Buy		main
2015-03-06	Bank of America	Buy	Neutral	up
2015-03-20	JP Morgan	Overweight		main
2015-04-13	Deutsche Bank	Buy		main
2015-04-14	Oppenheimer	Outperform		main
2015-04-30	Deutsche Bank	Buy		main
2015-04-30	Citigroup	Buy		main
2015-04-30	Barclays	Equal-Weight		main
2015-05-08	Deutsche Bank	Buy		main
2015-07-10	Deutsche Bank	Buy		main
2015-07-15	Citigroup	Buy		main
2015-08-11	Barclays	Equal-Weight		main
2015-08-11	Goldman Sachs	Neutral		init
2015-09-09	Deutsche Bank	Buy		main
2015-09-21	JP Morgan	Overweight		main
2015-10-07	UBS	Buy		main
2015-11-23	Deutsche Bank	Buy		main
2015-12-08	Bank of America	Neutral	Buy	down
2015-12-10	Jefferies	Hold		init
2015-12-15	Citigroup	Neutral	Buy	down
2015-12-16	Deutsche Bank	Hold	Buy	down
2016-01-04	Credit Suisse	Neutral	Outperform	down
2016-01-13	Keefe Bruyette & Woods	Outperform		main
2016-01-19	Deutsche Bank	Hold		main
2016-01-21	Oppenheimer	Outperform		main
2016-02-09	Deutsche Bank	Hold		main
2016-02-11	UBS	Buy		main
2016-02-17	Morgan Stanley	Overweight	Equal-Weight	up
2016-03-04	Barclays	Equal-Weight		init
2016-03-11	Deutsche Bank	Hold		main
2016-04-05	Deutsche Bank	Hold		main
2016-04-05	Barclays	Equal-Weight		main
2016-04-28	Keefe Bruyette & Woods	Market Perform	Outperform	down
2016-06-16	Deutsche Bank	Hold		main
2016-07-28	Citigroup	Neutral		main
2016-08-02	Jefferies	Hold		main
2016-08-05	Deutsche Bank	Hold		main
2016-08-09	Barclays	Equal-Weight		main
2016-10-13	Barclays	Equal-Weight		main
2016-10-14	Keefe Bruyette & Woods	Market Perform		main
2017-05-04	Keefe Bruyette & Woods	Outperform	Market Perform	up
