2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	7.45
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	6.32
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	16.6
highestControversy	0
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	10.55
peerGroup	Diversified Financials
smallArms	False
environmentScore	2.83
governancePercentile	
militaryContract	False
