	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	339202387	2020-06-29	0.0801	15820399329
1	Blackrock Inc.	317702210	2020-06-29	0.075	14817631074
2	State Street Corporation	187228771	2020-06-29	0.044199999999999996	8732349879
3	Wellington Management Company, LLP	102188121	2020-06-29	0.0241	4766053963
4	Bank of America Corporation	98338966	2020-06-29	0.0232	4586529374
5	Bank Of New York Mellon Corporation	82845155	2020-06-29	0.0196	3863898029
6	Geode Capital Management, LLC	65429293	2020-06-29	0.0155	3051622225
7	Wells Fargo & Company	57234986	2020-06-29	0.013500000000000002	2669439747
8	Northern Trust Corporation	56934396	2020-06-29	0.0134	2655420229
9	Ameriprise Financial, Inc.	55724989	2020-06-29	0.0132	2599013486
