	Holder	Shares	Date Reported	% Out	Value
0	Capital World Investors	65486314	2020-06-29	0.08560000000000001	4567015538
1	Vanguard Group, Inc. (The)	63753478	2020-06-29	0.0833	4446167555
2	Blackrock Inc.	50729513	2020-06-29	0.0663	3537876236
3	Capital Research Global Investors	49783088	2020-06-29	0.06509999999999999	3471872557
4	State Street Corporation	32332733	2020-06-29	0.042300000000000004	2254884799
5	Lazard Asset Management LLC	16381023	2020-06-29	0.021400000000000002	1142412544
6	Capital International Investors	12467593	2020-06-29	0.0163	869489935
7	Geode Capital Management, LLC	11862417	2020-06-29	0.0155	827284961
8	Bank of America Corporation	11055480	2020-06-29	0.014499999999999999	771009175
9	Soroban Capital Partners LP	10947779	2020-06-29	0.0143	763498107
