	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	10266398	2020-06-29	0.0973	2734557771
1	Blackrock Inc.	6103545	2020-06-29	0.057800000000000004	1625740246
2	Price (T.Rowe) Associates Inc	4790335	2020-06-29	0.0454	1275953630
3	State Street Corporation	3966866	2020-06-29	0.037599999999999995	1056614427
4	FMR, LLC	2383935	2020-06-29	0.0226	634984926
5	Brown Advisory Inc.	1869185	2020-06-29	0.0177	497876116
6	Geode Capital Management, LLC	1532754	2020-06-29	0.014499999999999999	408264355
7	Franklin Resources, Inc.	1505254	2020-06-29	0.0143	400939455
8	Invesco Ltd.	1150445	2020-06-29	0.0109	306432530
9	Fort Washington Investment Advisors, Inc.	1062425	2020-06-29	0.0101	282987523
