	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	54466896	2020-06-29	0.10039999999999999	3094809030
1	Vanguard Group, Inc. (The)	43028689	2020-06-29	0.0794	2444890108
2	State Street Corporation	23986387	2020-06-29	0.044199999999999996	1362906509
3	Dodge & Cox Inc	23710739	2020-06-29	0.0437	1347244189
4	Bank Of New York Mellon Corporation	21926978	2020-06-29	0.0404	1245890889
5	Nordea Investment Management Ab	17199972	2020-06-29	0.0317	977302409
6	Generation Investment Management LLP	16089333	2020-06-29	0.0297	914195901
7	Invesco Ltd.	13355093	2020-06-29	0.0246	758836384
8	Franklin Resources, Inc.	12182373	2020-06-29	0.0225	692202433
9	Macquarie Group Limited	11817666	2020-06-29	0.0218	671479782
