2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	11.25
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	102
governanceScore	5.69
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	18.09
highestControversy	2
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	14.52
peerGroup	Software & Services
smallArms	False
environmentScore	1.16
governancePercentile	
militaryContract	False
