Date	Firm	To Grade	From Grade	Action
2012-02-08 07:14:00	Citigroup	Buy		main
2012-02-09 07:30:00	Goldman Sachs	Buy		main
2012-02-09 12:10:00	UBS	Buy		main
2012-03-07 06:21:00	Morgan Stanley	Overweight		main
2012-03-13 07:24:00	BMO Capital	Market Perform		down
2012-05-03 06:35:00	Jefferies	Buy		main
2012-05-03 10:27:00	UBS	Buy		main
2012-07-12 06:33:00	ISI Group	Overweight		init
2012-08-07 11:47:00	ISI Group	Overweight		main
2012-08-08 06:04:00	Jefferies	Buy		main
2012-08-08 07:16:00	Citigroup	Buy		main
2012-08-08 08:26:00	JP Morgan	Overweight		main
2012-08-14 16:02:00	Cantor Fitzgerald	Buy		init
2012-11-06 15:04:00	ISI Group	Overweight		main
2012-11-06 16:21:00	Jefferies	Buy		main
2012-11-07 07:04:00	Jefferies	Buy		main
2012-11-07 08:17:00	BMO Capital	Outperform		main
2012-11-07 12:07:00	Barclays	Overweight		main
2012-12-13 13:02:19	ISI Group	Overweight		main
2012-12-14 07:47:54	Credit Suisse	Outperform		main
2012-12-14 08:19:22	Cantor Fitzgerald	Buy		main
2012-12-14 09:12:02	JP Morgan	Overweight		main
2012-12-14 09:32:15	UBS	Buy		main
2012-12-14 09:41:31	Morgan Stanley	Overweight		main
2012-12-14 10:26:29	Macquarie	Outperform	Neutral	up
2012-12-14 12:28:19	Macquarie	Outperform	Neutral	up
2012-12-20 08:09:00	Jefferies	Buy		main
2013-03-12 06:25:05	Goldman Sachs	Neutral	Buy	down
2013-04-14 12:31:59	Goldman Sachs	Neutral		main
2013-04-24 07:45:32	Citigroup	Buy		main
2013-05-31 07:33:43	Wells Fargo	Outperform		init
2013-08-07 06:39:31	Cantor Fitzgerald	Hold	Buy	down
2013-09-13 07:47:12	Cowen & Co.	Market Perform		init
2013-10-07 16:43:02	Jefferies	Buy		init
2013-11-06 13:34:02	BMO Capital	Outperform		main
2013-11-20 16:28:23	Deutsche Bank	Hold		init
2013-11-29 09:24:50	Morgan Stanley	Overweight		main
2013-12-11 06:24:06	Credit Suisse	Outperform		main
2013-12-19 06:40:57	Morgan Stanley	Overweight		main
2013-12-20 08:44:19	Deutsche Bank	Hold		main
2014-01-09 08:30:00	Leerink Swann	Outperform		init
2014-01-22 16:00:00	ISI Group	Strong Buy	Buy	up
2014-05-05 21:13:51	Barclays	Overweight		main
2014-08-06 21:00:36	Barclays	Overweight		main
2014-08-06 21:59:25	JP Morgan	Overweight		main
2014-09-15 06:17:05	Cowen & Co.	Outperform	Market Perform	up
2014-11-05 09:00:00	FBR Capital	Outperform		main
2014-12-10 00:00:00	Citigroup	Neutral		init
2014-12-17 09:00:00	JP Morgan	Overweight		main
2014-12-19 00:00:00	SunTrust Robinson Humphrey	Buy		up
2015-01-02 09:00:00	Bank of America	Buy		main
2015-01-08 09:00:00	JP Morgan	Overweight		main
2015-01-21 06:06:24	Goldman Sachs	Buy	Neutral	up
2015-02-13 09:00:00	Deutsche Bank	Hold		main
2015-04-27 09:00:00	Jefferies	Buy		main
2015-06-09 06:25:10	Macquarie	Outperform		init
2015-06-10 06:49:09	Cowen & Co.	Outperform		main
2015-06-18 16:12:53	Oppenheimer	Outperform		init
2015-08-28 13:41:29	Oppenheimer	Outperform		main
2015-11-02 10:21:31	Oppenheimer	Outperform		main
2015-11-02 12:33:10	JP Morgan	Overweight		main
2015-12-17 08:35:52	Goldman Sachs	Neutral	Buy	down
2016-01-22 12:06:11	Baird	Outperform		init
2016-02-03 10:36:07	Atlantic Equities	Overweight		init
2016-05-09 06:52:33	Citigroup	Neutral		main
2016-05-12 13:35:09	Jefferies	Buy		main
2016-06-20 07:59:21	Morgan Stanley	Equal-Weight		down
2016-08-03 14:21:50	Deutsche Bank	Hold		main
2016-08-08 11:17:27	Citigroup	Neutral		main
2016-10-03 12:55:07	Baird	Outperform		main
2016-10-03 19:16:10	Bank of America	Buy		main
2016-10-06 07:36:30	UBS	Buy		init
2017-02-02 14:09:20	Baird	Neutral	Outperform	down
2017-08-14 13:44:58	Wolfe Research	Peer Perform	Outperform	down
2017-08-17 18:58:23	Citigroup	Neutral		main
2017-09-15 16:41:04	Jefferies	Hold		main
