Date	Dividends	Stock Splits
1995-11-01	0.0	2.0
2008-09-30	0.0	4.6274872744099955
2011-06-22	0.09	0.0
2011-10-04	0.09	0.0
2012-01-03	0.09	0.0
2012-03-27	0.11	0.0
2012-06-26	0.11	0.0
2012-09-25	0.11	0.0
2012-12-24	0.11	0.0
2013-03-26	0.11	0.0
2013-06-25	0.11	0.0
2013-09-24	0.11	0.0
2013-12-23	0.11	0.0
2014-03-25	0.11	0.0
2014-06-24	0.11	0.0
2014-09-23	0.11	0.0
2014-12-23	0.11	0.0
2014-12-24	0.11	0.0
2015-03-24	0.11	0.0
2015-06-23	0.11	0.0
2015-09-22	0.11	0.0
2015-12-29	0.11	0.0
2016-03-29	0.11	0.0
2016-06-28	0.11	0.0
2016-09-27	0.11	0.0
2016-12-27	0.11	0.0
2017-03-28	0.11	0.0
2017-06-27	0.11	0.0
2017-09-27	0.11	0.0
2017-12-27	0.11	0.0
2018-03-28	0.11	0.0
2018-06-27	0.11	0.0
2018-09-26	0.11	0.0
2018-12-26	0.11	0.0
2019-03-27	0.11	0.0
2019-06-26	0.11	0.0
2019-09-25	0.11	0.0
2019-12-24	0.11	0.0
2020-03-25	0.11	0.0
