	Holder	Shares	Date Reported	% Out	Value
0	iShares Core S&P Midcap ETF	10762831	2020-01-30	0.0288	251096847
1	Vanguard Total Stock Market Index Fund	10391866	2019-12-30	0.0278	242442233
2	Vanguard Small-Cap Index Fund	9300771	2019-12-30	0.024900000000000002	216986987
3	Vanguard Small Cap Value Index Fund	5720275	2019-12-30	0.015300000000000001	133454015
4	Vanguard Extended Market Index Fund	5221751	2019-12-30	0.013999999999999999	121823450
5	Merger Fund, The	4059578	2019-12-30	0.0109	94709954
6	SPDR S&P Mid Cap 400 ETF Trust	3819778	2020-01-30	0.0102	89115420
7	IShares S&P Mid Cap 400 Growth ETF	2898737	2020-01-30	0.0078000000000000005	67627534
8	Fidelity Extended Market Index Fund	1779612	2020-01-30	0.0048	41518347
9	IndexIQ Tr-IQ Merger Arbitrage ETF	1478688	2020-01-30	0.004	34497791
