	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	35914748	Dec 30, 2019	9.61%	837891070
1	Blackrock Inc.	34632782	Dec 30, 2019	9.27%	807982804
2	Barclays PLC	13573029	Dec 30, 2019	3.63%	316658766
3	State Street Corporation	9477795	Dec 30, 2019	2.54%	221116957
4	Pentwater Capital Management Lp	9389157	Dec 30, 2019	2.51%	219049032
5	Carlson Capital. L.P.	9085000	Dec 30, 2019	2.43%	211953050
6	PSquared Asset Management AG	8013563	Dec 30, 2019	2.14%	186956424
7	Magnetar Financial LLC	7638793	Dec 30, 2019	2.04%	178213040
8	TIG Advisors, LLC	6744906	Dec 30, 2019	1.81%	157358656
9	Goldman Sachs Group, Inc.	6442230	Dec 30, 2019	1.72%	150297225
