	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	13295875	2020-06-29	0.1349	532632752
1	Blackrock Inc.	10143660	2020-06-29	0.10289999999999999	406355019
2	Capital World Investors	8601604	2020-06-29	0.0873	344580256
3	Vanguard Group, Inc. (The)	7789597	2020-06-29	0.079	312051255
4	Canyon Capital Advisors LLC	5248972	2020-06-29	0.0533	210273818
5	Point Break Capital Management, LLC	4734140	2020-06-29	0.048	189649648
6	Frontier Capital Management Company LLC	4626301	2020-06-29	0.046900000000000004	185329618
7	Invesco Ltd.	4370557	2020-06-29	0.0443	175084513
8	Cohen & Steers Inc.	3603392	2020-06-29	0.0366	144351883
9	State Street Corporation	2623478	2020-06-29	0.026600000000000002	105096528
