Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1980-03-17	0.0	0.43	0.41	0.41	375600	0.0	0.0
1980-03-18	0.0	0.43	0.41	0.42	429000	0.0	0.0
1980-03-19	0.0	0.43	0.42	0.42	223200	0.0	0.0
1980-03-20	0.0	0.43	0.42	0.43	207200	0.0	0.0
1980-03-21	0.0	0.43	0.42	0.43	305600	0.0	0.0
1980-03-24	0.0	0.43	0.42	0.42	385400	0.0	0.0
1980-03-25	0.0	0.42	0.41	0.42	206600	0.0	0.0
1980-03-26	0.0	0.43	0.42	0.42	131600	0.0	0.0
1980-03-27	0.0	0.42	0.4	0.41	380400	0.0	0.0
1980-03-28	0.0	0.42	0.41	0.41	234000	0.0	0.0
1980-03-31	0.0	0.42	0.41	0.42	172200	0.0	0.0
1980-04-01	0.0	0.44	0.42	0.44	1267800	0.0	0.0
1980-04-02	0.0	0.46	0.44	0.44	236400	0.0	0.0
1980-04-03	0.0	0.46	0.44	0.46	199400	0.0	0.0
1980-04-07	0.0	0.46	0.44	0.44	250200	0.0	0.0
1980-04-08	0.0	0.44	0.43	0.44	513600	0.0	0.0
1980-04-09	0.0	0.46	0.43	0.46	222800	0.0	0.0
1980-04-10	0.0	0.47	0.46	0.47	970200	0.0	0.0
1980-04-11	0.0	0.48	0.47	0.48	209000	0.0	0.0
1980-04-14	0.0	0.48	0.47	0.47	156600	0.0	0.0
1980-04-15	0.0	0.47	0.46	0.46	151400	0.0	0.0
1980-04-16	0.0	0.48	0.47	0.47	350000	0.0	0.0
1980-04-17	0.0	0.48	0.47	0.48	300200	0.0	0.0
1980-04-18	0.0	0.49	0.48	0.48	306800	0.0	0.0
1980-04-21	0.0	0.49	0.48	0.48	212000	0.0	0.0
1980-04-22	0.0	0.48	0.48	0.48	275400	0.0	0.0
1980-04-23	0.0	0.49	0.48	0.48	490800	0.0	0.0
1980-04-24	0.0	0.49	0.48	0.49	412400	0.0	0.0
1980-04-25	0.0	0.49	0.48	0.49	951200	0.0	0.0
1980-04-28	0.0	0.49	0.48	0.48	237600	0.0	0.0
1980-04-29	0.0	0.49	0.48	0.49	187800	0.0	0.0
1980-04-30	0.0	0.49	0.48	0.49	185400	0.0	0.0
1980-05-01	0.0	0.49	0.48	0.49	141200	0.0	0.0
1980-05-02	0.0	0.5	0.49	0.5	503000	0.0	0.0
1980-05-05	0.0	0.5	0.49	0.5	233400	0.0	0.0
1980-05-06	0.0	0.5	0.5	0.5	310200	0.0	0.0
1980-05-07	0.0	0.52	0.5	0.52	513600	0.0	0.0
1980-05-08	0.0	0.52	0.5	0.5	322800	0.0	0.0
1980-05-09	0.0	0.51	0.5	0.5	166200	0.0	0.0
1980-05-12	0.0	0.5	0.49	0.5	176400	0.0	0.0
1980-05-13	0.0	0.51	0.49	0.5	157200	0.0	0.0
1980-05-14	0.0	0.52	0.5	0.52	300800	0.0	0.0
1980-05-15	0.0	0.52	0.52	0.52	183800	0.0	0.0
1980-05-16	0.0	0.52	0.5	0.52	191600	0.0	0.0
1980-05-19	0.0	0.52	0.5	0.51	155600	0.0	0.0
1980-05-20	0.0	0.51	0.5	0.5	310800	0.0	0.0
1980-05-21	0.0	0.51	0.5	0.51	365000	0.0	0.0
1980-05-22	0.0	0.51	0.5	0.51	984000	0.0	0.0
1980-05-23	0.0	0.49	0.48	0.49	532400	0.0	0.0
1980-05-27	0.0	0.49	0.48	0.48	404000	0.0	0.0
1980-05-28	0.0	0.49	0.48	0.48	657600	0.0	0.0
1980-05-29	0.0	0.49	0.48	0.49	1818800	0.0	0.0
1980-05-30	0.0	0.49	0.48	0.49	523400	0.0	0.0
1980-06-02	0.0	0.49	0.49	0.49	219000	0.0	0.0
1980-06-03	0.0	0.49	0.48	0.49	243000	0.0	0.0
1980-06-04	0.0	0.49	0.48	0.49	242000	0.0	0.0
1980-06-05	0.0	0.5	0.49	0.49	452000	0.0	0.0
1980-06-06	0.0	0.5	0.49	0.5	666000	0.0	0.0
1980-06-09	0.0	0.51	0.5	0.5	176400	0.0	0.0
1980-06-10	0.0	0.51	0.5	0.5	452600	0.0	0.0
1980-06-11	0.0	0.5	0.46	0.5	254600	0.0	0.0
1980-06-12	0.0	0.5	0.49	0.5	229200	0.0	0.0
1980-06-13	0.0	0.52	0.49	0.52	644600	0.0	0.0
1980-06-16	0.0	0.53	0.51	0.52	423200	0.0	0.0
1980-06-17	0.0	0.53	0.52	0.53	285200	0.0	0.0
1980-06-18	0.0	0.53	0.52	0.53	557400	0.0	0.0
1980-06-19	0.0	0.53	0.52	0.52	450800	0.0	0.0
1980-06-20	0.0	0.53	0.52	0.53	266000	0.0	0.0
1980-06-23	0.0	0.53	0.52	0.52	299600	0.0	0.0
1980-06-24	0.0	0.53	0.52	0.53	291600	0.0	0.0
1980-06-25	0.0	0.53	0.52	0.52	195000	0.0	0.0
1980-06-26	0.0	0.53	0.52	0.52	233000	0.0	0.0
1980-06-27	0.0	0.53	0.52	0.52	156200	0.0	0.0
