2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	13.64
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	9.79
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	23.54
highestControversy	1
esgPerformance	AVG_PERF
coal	False
pesticides	False
adult	False
percentile	32.85
peerGroup	Diversified Financials
smallArms	False
environmentScore	0.11
governancePercentile	
militaryContract	False
