Date	Firm	To Grade	From Grade	Action
2012-02-08 08:43:00	Morgan Stanley	Overweight		main
2012-02-08 13:09:00	UBS	Neutral		main
2012-02-13 07:27:00	Miller Tabak	Buy		main
2012-02-27 07:05:00	Goldman Sachs	Buy		up
2012-03-20 06:03:00	Wunderlich	Hold		main
2012-04-09 05:59:00	Deutsche Bank	Buy		main
2012-04-09 06:34:00	Citigroup	Neutral		down
2012-05-09 05:59:00	JP Morgan	Overweight		main
2012-05-09 10:40:00	Citigroup	Neutral		main
2012-05-09 11:02:00	UBS	Neutral		main
2012-05-09 15:13:00	Hilliard Lyons	Long-Term Buy		main
2012-05-14 08:30:00	Stifel Nicolaus	Buy		main
2012-05-29 07:03:00	Morgan Stanley	Overweight		main
2012-07-12 08:13:00	Wells Fargo	Outperform	Market Perform	up
2012-07-17 05:50:00	Bank of America	Buy	Neutral	up
2012-07-27 07:31:00	Morgan Stanley	Overweight		main
2012-08-07 05:57:00	Wunderlich	Hold		main
2012-08-08 05:42:00	Credit Suisse	Outperform		main
2012-08-08 06:21:00	PiperJaffray	Neutral		main
2012-08-08 09:34:00	Gabelli & Co.	Hold	Buy	down
2012-08-08 12:07:00	UBS	Neutral		main
2012-08-08 12:55:00	Barclays	Equal-Weight		main
2012-08-09 08:36:00	Stifel Nicolaus	Buy		main
2012-08-13 10:58:00	Hilliard Lyons	Long-Term Buy		main
2012-09-20 06:56:00	Credit Suisse	Outperform		main
2012-10-08 07:28:00	Caris & Co.	Average	Above Average	down
2012-11-09 08:05:00	Nomura	Buy		main
2012-11-12 06:10:00	Citigroup	Buy	Neutral	up
2013-01-15 08:03:43	Nomura	Buy		main
2013-01-16 07:38:30	Deutsche Bank			main
2013-01-31 08:27:41	Stifel Nicolaus	Buy		main
2013-02-04 07:22:14	Wunderlich	Hold		main
2013-02-04 07:51:36	Deutsche Bank	Buy		main
2013-02-06 07:43:10	Nomura	Buy		main
2013-02-06 07:51:47	Credit Suisse	Outperform		main
2013-03-20 10:17:12	Tigress Financial	Buy		init
2013-04-08 08:44:09	JP Morgan	Overweight		main
2013-04-29 08:11:28	UBS	Buy	Neutral	up
2013-04-30 08:25:05	Stifel Nicolaus	Buy		main
2013-05-06 06:50:35	Wunderlich	Hold		main
2013-05-08 07:58:21	Nomura	Buy		main
2013-05-17 08:12:13	Atlantic Equities	Neutral	Overweight	down
2013-06-11 07:22:40	Macquarie	Outperform	Neutral	up
2013-06-12 16:14:33	Sterne Agee	Neutral		init
2013-06-20 06:31:15	Goldman Sachs	Neutral	Buy	down
2013-07-08 07:47:40	Credit Suisse	Outperform		main
2013-07-19 07:19:09	Wunderlich	Buy		main
2013-09-10 16:17:17	ISI Group	Neutral		init
2013-09-13 09:07:58	Stifel Nicolaus	Buy		main
2013-09-19 07:00:00	Morgan Stanley	Equal-Weight	Overweight	down
2013-10-25 08:29:50	FBR Capital	Outperform		init
2013-11-05 08:05:54	Wunderlich	Hold		main
2013-12-12 06:54:54	Credit Suisse	Outperform		main
2013-12-19 16:00:00	Ascendiant Capital	Buy		init
2013-12-30 16:00:00	Guggenheim	Buy	Neutral	up
2014-01-15 07:33:22	Nomura	Buy		init
2014-01-23 16:00:00	Topeka	Hold		init
2014-01-24 07:36:49	Stifel Nicolaus	Buy		main
2014-02-04 16:00:00	Topeka	Neutral		init
2014-04-09 08:00:00	JP Morgan	Overweight		main
2014-04-24 01:28:12	Citigroup	Buy		main
