	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	7643281	2020-06-29	0.0929	498571219
1	Vanguard Group, Inc. (The)	7513123	2020-06-29	0.0913	490081013
2	Price (T.Rowe) Associates Inc	7343508	2020-06-29	0.08929999999999999	479017026
3	Janus Henderson Group PLC	5876802	2020-06-29	0.07139999999999999	383343794
4	FMR, LLC	3833030	2020-06-29	0.0466	250028546
5	Citadel Advisors LLC	2139241	2020-06-29	0.026000000000000002	139542690
6	State Street Corporation	1973501	2020-06-29	0.024	128731470
7	Jackson Square Partners, LLC	1948113	2020-06-29	0.023700000000000002	127075410
8	HS Management Partners, LLC	1834214	2020-06-29	0.0223	119645779
9	Champlain Investment Partners, LLC	1806019	2020-06-29	0.022000000000000002	117806619
