Date	Firm	To Grade	From Grade	Action
2018-06-08 11:25:37	JMP Securities	Market Outperform	Market Outperform	main
2018-06-08 11:31:51	Deutsche Bank	Hold	Hold	main
2018-06-08 11:52:47	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-06-08 12:01:41	Citigroup	Buy	Buy	main
2018-06-08 12:17:50	Bank of America	Neutral	Neutral	main
2018-09-06 11:25:36	JMP Securities	Market Outperform	Market Outperform	main
2018-09-06 11:40:02	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-09-06 12:59:41	Bank of America	Neutral	Neutral	main
2018-12-07 12:56:56	Morgan Stanley	Equal-Weight	Equal-Weight	main
2019-01-15 12:13:30	Morgan Stanley	Overweight	Equal-Weight	up
2019-02-13 11:31:09	Deutsche Bank	Buy	Hold	up
2019-03-15 12:59:51	Wedbush	Neutral	Neutral	main
2019-09-06 11:31:10	Wedbush	Outperform	Neutral	up
2019-09-06 11:31:56	Citi	Buy		main
2019-09-06 12:15:38	JMP Securities	Market Outperform		main
2019-09-06 13:39:20	Morgan Stanley	Overweight		main
2019-09-06 14:29:37	Bank of America	Neutral		reit
2019-09-06 16:23:56	JP Morgan	Overweight		main
2019-10-02 12:36:12	RBC Capital	Outperform		main
2019-10-16 11:31:35	Wedbush	Outperform		main
2019-10-17 14:07:33	DA Davidson	Buy		main
2019-11-21 12:51:05	JMP Securities	Market Outperform		main
2019-12-02 14:16:03	RBC Capital	Outperform		main
2019-12-06 14:05:47	Deutsche Bank	Buy		main
2019-12-06 15:11:59	Wedbush	Outperform		main
2019-12-06 15:34:35	Bank of America	Neutral		main
2020-01-13 11:41:26	Morgan Stanley	Equal-Weight	Overweight	down
2020-03-11 13:26:31	Deutsche Bank	Buy		main
2020-03-13 15:02:29	Morgan Stanley	Equal-Weight		main
2020-03-27 18:53:35	Goldman Sachs	Neutral		main
2020-04-16 11:01:14	Wedbush	Outperform		main
2020-05-21 13:18:25	RBC Capital	Outperform		main
2020-05-21 15:23:30	Citigroup	Buy		main
2020-05-22 11:48:05	Morgan Stanley	Equal-Weight		main
2020-05-28 12:38:28	Wedbush	Outperform		main
2020-06-05 12:52:47	Wedbush	Outperform		main
2020-06-05 13:36:51	Morgan Stanley	Equal-Weight		main
2020-06-23 12:10:38	Morgan Stanley	Equal-Weight		main
2020-08-14 12:16:05	Morgan Stanley	Equal-Weight		main
2020-08-18 15:21:04	RBC Capital	Outperform		main
2020-08-24 13:02:43	Deutsche Bank	Buy		main
2020-09-02 14:40:33	Oppenheimer	Outperform		main
2020-09-04 10:46:01	Deutsche Bank	Hold	Buy	down
2020-09-04 11:00:32	Wedbush	Outperform		main
2020-09-04 12:56:43	Morgan Stanley	Equal-Weight		main
2020-09-04 16:54:23	JMP Securities	Market Outperform		main
2020-09-04 16:57:25	RBC Capital	Outperform		main
