	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	38055337	2020-06-29	0.10060000000000001	2066785352
1	Blackrock Inc.	34383237	2020-06-29	0.0909	1867353601
2	State Street Corporation	27805287	2020-06-29	0.0735	1510105136
3	Capital International Investors	15596241	2020-06-29	0.0412	847031848
4	Price (T.Rowe) Associates Inc	12300648	2020-06-29	0.0325	668048192
5	FMR, LLC	11901587	2020-06-29	0.0315	646375189
6	Macquarie Group Limited	11823564	2020-06-29	0.0313	642137760
7	Zimmer Partners, LP	9975000	2020-06-29	0.0264	541742250
8	Boston Partners	7829299	2020-06-29	0.0207	425209228
9	ClearBridge Investments, LLC	6921898	2020-06-29	0.0183	375928280
