Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2000-08-11	335.02	367.87	315.32	344.88	792500	0.0	0.0
2000-08-14	344.06	344.88	315.32	315.32	80200	0.0	0.0
2000-08-15	319.42	325.17	315.32	318.6	48400	0.0	0.0
2000-08-16	316.96	343.23	316.96	325.17	42100	0.0	0.0
2000-08-17	321.88	328.45	313.67	315.32	47200	0.0	0.0
2000-08-18	329.27	377.72	325.17	376.08	60400	0.0	0.0
2000-08-21	395.79	426.99	366.23	399.07	66500	0.0	0.0
2000-08-22	404.0	412.21	354.73	354.73	33800	0.0	0.0
2000-08-23	356.37	361.3	335.02	341.59	17900	0.0	0.0
2000-08-24	339.95	343.23	316.96	316.96	18400	0.0	0.0
2000-08-25	330.1	339.95	318.6	338.31	20100	0.0	0.0
2000-08-28	352.27	355.96	328.45	344.88	19400	0.0	0.0
2000-08-29	353.09	354.73	331.74	351.45	22700	0.0	0.0
2000-08-30	350.62	385.93	348.16	372.8	19800	0.0	0.0
2000-08-31	395.79	433.56	390.86	425.35	87300	0.0	0.0
2000-09-01	423.71	426.99	394.14	413.85	27700	0.0	0.0
2000-09-05	415.49	426.99	407.28	408.92	23000	0.0	0.0
2000-09-06	423.71	426.99	400.71	407.28	20500	0.0	0.0
2000-09-07	420.42	420.42	351.45	377.72	23900	0.0	0.0
2000-09-08	374.85	381.01	361.3	367.87	15900	0.0	0.0
2000-09-11	362.94	367.87	354.73	364.58	34500	0.0	0.0
2000-09-12	357.19	362.94	338.31	341.59	33800	0.0	0.0
2000-09-13	335.02	344.88	325.17	328.45	10300	0.0	0.0
2000-09-14	364.58	364.58	328.45	333.38	8100	0.0	0.0
2000-09-15	330.1	341.59	328.45	330.1	3600	0.0	0.0
2000-09-18	344.88	348.16	313.67	316.96	18600	0.0	0.0
2000-09-19	344.06	344.88	282.47	295.61	48000	0.0	0.0
2000-09-20	302.18	303.82	256.19	272.62	24100	0.0	0.0
2000-09-21	270.97	282.47	267.69	279.19	25200	0.0	0.0
2000-09-22	252.09	284.11	247.98	277.54	8400	0.0	0.0
2000-09-25	279.19	284.11	246.34	247.98	21000	0.0	0.0
2000-09-26	259.48	261.12	236.49	243.06	19600	0.0	0.0
2000-09-27	247.16	247.98	226.63	245.52	16700	0.0	0.0
2000-09-28	243.06	282.47	239.77	262.76	22000	0.0	0.0
2000-09-29	265.23	266.05	229.1	233.2	19100	0.0	0.0
2000-10-02	246.34	247.16	220.06	223.35	6800	0.0	0.0
2000-10-03	225.81	233.2	203.64	208.57	10100	0.0	0.0
2000-10-04	210.21	211.85	177.37	187.22	14600	0.0	0.0
2000-10-05	182.29	213.49	170.8	172.44	15100	0.0	0.0
2000-10-06	182.7	183.93	156.02	160.12	11400	0.0	0.0
2000-10-09	172.44	175.72	151.91	162.58	10600	0.0	0.0
2000-10-10	165.87	167.51	144.52	149.45	13200	0.0	0.0
2000-10-11	137.95	151.09	106.75	108.39	42400	0.0	0.0
2000-10-12	133.84	137.95	118.24	136.31	37200	0.0	0.0
2000-10-13	149.45	206.93	145.34	198.71	42800	0.0	0.0
2000-10-16	213.5	215.14	193.79	213.5	38500	0.0	0.0
2000-10-17	223.35	224.99	200.36	205.28	11000	0.0	0.0
2000-10-18	203.64	220.06	156.02	211.85	19300	0.0	0.0
2000-10-19	223.35	244.7	177.37	181.47	25900	0.0	0.0
2000-10-20	197.07	197.07	183.93	192.15	21700	0.0	0.0
2000-10-23	193.79	220.89	187.22	216.78	17800	0.0	0.0
2000-10-24	218.01	223.35	213.49	221.71	19700	0.0	0.0
2000-10-25	219.65	223.35	206.93	223.35	13200	0.0	0.0
2000-10-26	222.53	252.91	221.71	238.13	8700	0.0	0.0
2000-10-27	239.36	239.77	226.63	236.49	3300	0.0	0.0
2000-10-30	234.84	246.34	226.63	234.84	7600	0.0	0.0
2000-10-31	239.77	269.33	229.92	256.19	10400	0.0	0.0
2000-11-01	255.78	275.9	251.27	256.19	11500	0.0	0.0
2000-11-02	255.78	259.48	233.2	243.06	7800	0.0	0.0
2000-11-03	235.67	247.98	235.67	239.77	7700	0.0	0.0
2000-11-06	243.06	246.34	228.28	233.2	9700	0.0	0.0
2000-11-07	236.49	236.49	229.92	233.2	6600	0.0	0.0
2000-11-08	233.2	233.2	197.89	211.85	20900	0.0	0.0
2000-11-09	197.07	210.21	197.07	207.75	12600	0.0	0.0
2000-11-10	200.77	203.64	195.43	195.43	18100	0.0	0.0
2000-11-13	182.29	185.58	179.01	185.58	13700	0.0	0.0
2000-11-14	184.76	192.15	170.8	174.08	15700	0.0	0.0
2000-11-15	180.65	182.29	165.87	165.87	20400	0.0	0.0
2000-11-16	171.21	174.08	164.23	166.69	3900	0.0	0.0
2000-11-17	179.83	180.65	167.51	174.08	14100	0.0	0.0
2000-11-20	171.62	172.44	165.87	165.87	5400	0.0	0.0
2000-11-21	166.69	170.8	162.58	162.58	8200	0.0	0.0
2000-11-22	164.23	164.23	157.66	157.66	11400	0.0	0.0
2000-11-24	159.71	160.94	157.66	158.48	1800	0.0	0.0
2000-11-27	167.51	174.08	156.02	157.66	5200	0.0	0.0
2000-11-28	160.94	160.94	141.24	142.88	3900	0.0	0.0
2000-11-29	142.88	146.16	118.24	128.1	17000	0.0	0.0
2000-11-30	124.81	127.28	111.67	114.96	10600	0.0	0.0
2000-12-01	114.96	133.02	114.14	126.45	6800	0.0	0.0
2000-12-04	127.28	134.67	127.28	129.74	2400	0.0	0.0
2000-12-05	133.43	136.31	128.1	133.02	4700	0.0	0.0
2000-12-06	132.2	133.02	119.89	126.45	5100	0.0	0.0
2000-12-07	125.63	136.31	118.24	118.24	13600	0.0	0.0
2000-12-08	124.81	157.66	124.81	144.52	5700	0.0	0.0
2000-12-11	145.34	152.73	144.52	144.52	2500	0.0	0.0
2000-12-12	149.04	192.15	144.52	174.08	10000	0.0	0.0
2000-12-13	193.38	200.36	180.65	185.58	6600	0.0	0.0
2000-12-14	191.73	192.15	179.01	183.93	4900	0.0	0.0
2000-12-15	182.7	185.17	175.72	175.72	2500	0.0	0.0
2000-12-18	186.4	187.22	147.8	153.55	3100	0.0	0.0
2000-12-19	142.06	156.02	134.67	146.16	5000	0.0	0.0
2000-12-20	144.52	146.57	123.17	128.1	8200	0.0	0.0
2000-12-21	118.24	121.53	103.46	106.75	16700	0.0	0.0
2000-12-22	120.3	121.53	105.11	105.11	14100	0.0	0.0
2000-12-26	106.75	116.6	100.18	103.46	10900	0.0	0.0
2000-12-27	103.46	105.11	91.97	100.18	6900	0.0	0.0
2000-12-28	98.54	100.18	85.4	91.97	30800	0.0	0.0
2000-12-29	91.15	124.81	90.32	114.96	16700	0.0	0.0
2001-01-02	116.19	116.6	88.68	93.61	13500	0.0	0.0
2001-01-03	90.32	118.24	85.4	95.25	26100	0.0	0.0
