	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	11281858	2020-06-29	0.1274	7923248873
1	Blackrock Inc.	6583185	2020-06-29	0.07429999999999999	4623370825
2	State Street Corporation	3758540	2020-06-29	0.0424	2639622642
3	Cohen & Steers Inc.	3620965	2020-06-29	0.0409	2543003719
4	Edgewood Management Company	2927221	2020-06-29	0.0331	2055787308
5	Capital World Investors	2517135	2020-06-29	0.028399999999999998	1767783910
6	Capital International Investors	2301630	2020-06-29	0.026000000000000002	1616434749
7	FMR, LLC	2164354	2020-06-29	0.024399999999999998	1520025814
8	Principal Financial Group, Inc.	1665942	2020-06-29	0.018799999999999997	1169991066
9	JP Morgan Chase & Company	1529901	2020-06-29	0.0173	1074449472
