Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1993-08-12	3.3	3.3	3.12	3.26	13086600	0.0	0.0
1993-08-13	3.25	3.25	3.16	3.16	1277800	0.0	0.0
1993-08-16	3.16	3.19	3.15	3.19	559000	0.0	0.0
1993-08-17	3.19	3.22	3.17	3.2	545600	0.0	0.0
1993-08-18	3.2	3.2	3.2	3.2	469200	0.0	0.0
1993-08-19	3.2	3.2	3.15	3.15	409400	0.0	0.0
1993-08-20	3.16	3.2	3.16	3.17	540800	0.0	0.0
1993-08-23	3.17	3.2	3.16	3.19	335600	0.0	0.0
1993-08-24	3.19	3.23	3.19	3.23	234400	0.0	0.0
1993-08-25	3.2	3.2	3.19	3.19	102600	0.0	0.0
1993-08-26	3.19	3.26	3.19	3.26	180400	0.0	0.0
1993-08-27	3.26	3.26	3.2	3.22	119600	0.0	0.0
1993-08-30	3.2	3.25	3.2	3.22	71400	0.0	0.0
1993-08-31	3.22	3.29	3.22	3.27	147000	0.0	0.0
1993-09-01	3.29	3.3	3.26	3.26	141600	0.0	0.0
1993-09-02	3.3	3.3	3.27	3.3	217600	0.0	0.0
1993-09-03	3.29	3.37	3.29	3.33	178800	0.0	0.0
1993-09-07	3.32	3.37	3.32	3.34	167600	0.0	0.0
1993-09-08	3.37	3.39	3.3	3.3	276200	0.0	0.0
1993-09-09	3.3	3.39	3.3	3.33	74400	0.0	0.0
1993-09-10	3.32	3.47	3.32	3.44	245000	0.0	0.0
1993-09-13	3.4	3.42	3.39	3.42	251200	0.0	0.0
1993-09-14	3.36	3.37	3.32	3.36	127000	0.0	0.0
1993-09-15	3.36	3.36	3.32	3.36	162400	0.0	0.0
1993-09-16	3.39	3.39	3.34	3.39	88800	0.0	0.0
1993-09-17	3.37	3.43	3.36	3.43	113000	0.0	0.0
1993-09-20	3.4	3.43	3.38	3.38	15400	0.105	0.0
1993-09-21	3.41	3.41	3.37	3.4	286000	0.0	0.0
1993-09-22	3.38	3.43	3.37	3.43	54800	0.0	0.0
1993-09-23	3.41	3.41	3.37	3.4	51000	0.0	0.0
1993-09-24	3.38	3.45	3.38	3.45	265000	0.0	0.0
1993-09-27	3.45	3.61	3.45	3.6	675400	0.0	0.0
1993-09-28	3.58	3.63	3.55	3.61	360800	0.0	0.0
1993-09-29	3.61	3.7	3.61	3.61	823200	0.0	0.0
1993-09-30	3.6	3.61	3.55	3.57	138000	0.0	0.0
1993-10-01	3.57	3.61	3.57	3.57	31600	0.0	0.0
1993-10-04	3.55	3.55	3.47	3.5	27600	0.0	0.0
1993-10-05	3.5	3.54	3.48	3.5	87600	0.0	0.0
1993-10-06	3.47	3.57	3.47	3.55	327600	0.0	0.0
1993-10-07	3.53	3.61	3.53	3.57	40400	0.0	0.0
1993-10-08	3.6	4.01	3.6	3.93	1242600	0.0	0.0
1993-10-11	3.9	3.96	3.9	3.9	885200	0.0	0.0
