Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1996-08-16	25.33	26.95	23.17	24.25	2691800	0.0	0.0
1996-08-19	24.79	25.6	23.44	23.58	441500	0.0	0.0
1996-08-20	23.71	24.25	23.44	23.71	240000	0.0	0.0
1996-08-21	23.71	23.71	22.63	22.63	582800	0.0	0.0
1996-08-22	22.9	22.9	22.63	22.63	845600	0.0	0.0
1996-08-23	22.63	22.9	22.63	22.9	136600	0.0	0.0
1996-08-26	22.9	22.9	22.63	22.63	72100	0.0	0.0
1996-08-27	22.63	22.9	22.63	22.63	39800	0.0	0.0
1996-08-28	22.9	22.9	22.63	22.9	52600	0.0	0.0
1996-08-29	22.9	22.9	22.63	22.7	14200	0.0	0.0
1996-08-30	22.63	22.9	22.63	22.63	16000	0.0	0.0
1996-09-03	22.9	22.9	22.5	22.63	139300	0.0	0.0
1996-09-04	22.63	22.9	22.63	22.63	63000	0.0	0.0
1996-09-05	22.9	22.9	22.63	22.63	54000	0.0	0.0
1996-09-06	22.63	22.9	22.63	22.63	49300	0.0	0.0
1996-09-09	22.9	22.9	22.63	22.63	66700	0.0	0.0
1996-09-10	22.63	22.9	22.63	22.63	29700	0.0	0.0
1996-09-11	22.9	22.9	18.86	18.86	293800	0.0	0.0
1996-09-12	19.67	20.21	18.86	19.67	197000	0.0	0.0
1996-09-13	20.21	20.48	19.4	20.21	55100	0.0	0.0
1996-09-16	20.21	20.21	19.4	19.67	71500	0.0	0.0
1996-09-17	19.67	19.67	18.32	18.59	101800	0.0	0.0
1996-09-18	18.59	18.59	17.78	18.05	101900	0.0	0.0
1996-09-19	18.05	18.59	17.78	18.32	74400	0.0	0.0
1996-09-20	18.05	20.75	18.05	20.75	219000	0.0	0.0
1996-09-23	20.75	20.75	19.67	19.94	145000	0.0	0.0
1996-09-24	19.94	19.94	19.13	19.67	80000	0.0	0.0
1996-09-25	19.67	20.48	19.4	20.48	147200	0.0	0.0
1996-09-26	20.48	23.17	20.21	23.17	174600	0.0	0.0
1996-09-27	23.17	27.48	22.9	26.94	245900	0.0	0.0
1996-09-30	26.94	29.91	26.94	28.43	214500	0.0	0.0
1996-10-01	28.56	28.56	23.44	23.71	293400	0.0	0.0
1996-10-02	23.71	23.98	23.71	23.98	61600	0.0	0.0
1996-10-03	23.98	26.14	23.71	25.87	82600	0.0	0.0
1996-10-04	25.87	27.21	25.87	26.68	83700	0.0	0.0
1996-10-07	26.41	28.83	26.14	26.68	163300	0.0	0.0
1996-10-08	26.41	26.68	24.79	25.06	95300	0.0	0.0
1996-10-09	25.33	25.33	23.71	24.79	107300	0.0	0.0
1996-10-10	24.25	26.68	24.25	26.41	127400	0.0	0.0
1996-10-11	26.68	28.56	26.41	26.94	277900	0.0	0.0
1996-10-14	26.68	26.94	26.14	26.41	100000	0.0	0.0
1996-10-15	26.41	26.95	25.6	26.14	90300	0.0	0.0
1996-10-16	26.14	27.21	25.6	26.41	107400	0.0	0.0
1996-10-17	26.41	27.48	26.14	26.94	92000	0.0	0.0
1996-10-18	27.48	27.48	26.94	26.94	104800	0.0	0.0
1996-10-21	27.48	27.48	26.94	26.94	27400	0.0	0.0
1996-10-22	27.48	27.48	25.33	25.33	66600	0.0	0.0
1996-10-23	25.06	25.6	24.52	25.6	99300	0.0	0.0
1996-10-24	25.6	25.87	25.06	25.33	45200	0.0	0.0
1996-10-25	25.33	25.33	24.25	24.39	20500	0.0	0.0
1996-10-28	24.52	24.52	23.17	23.44	97300	0.0	0.0
1996-10-29	23.17	23.71	23.17	23.17	51000	0.0	0.0
1996-10-30	23.44	23.44	23.17	23.44	41400	0.0	0.0
1996-10-31	23.98	24.79	23.71	23.98	195000	0.0	0.0
1996-11-01	24.25	24.25	21.02	21.29	118800	0.0	0.0
1996-11-04	21.29	22.36	20.75	21.02	110400	0.0	0.0
1996-11-05	21.02	21.29	19.4	19.94	87400	0.0	0.0
1996-11-06	19.94	22.09	19.67	21.56	207400	0.0	0.0
1996-11-07	21.56	21.83	20.75	20.75	83000	0.0	0.0
1996-11-08	21.02	21.02	20.21	21.02	29700	0.0	0.0
1996-11-11	21.02	21.02	20.21	20.21	44700	0.0	0.0
1996-11-12	20.21	21.02	18.86	19.4	100500	0.0	0.0
1996-11-13	19.67	19.94	19.13	19.4	63800	0.0	0.0
1996-11-14	19.4	21.29	19.13	20.75	71700	0.0	0.0
1996-11-15	20.75	21.56	20.75	21.29	38300	0.0	0.0
1996-11-18	21.29	21.56	20.75	21.56	51100	0.0	0.0
1996-11-19	21.56	22.09	21.29	21.83	64400	0.0	0.0
1996-11-20	21.56	21.83	21.56	21.83	15200	0.0	0.0
1996-11-21	21.56	23.71	21.56	23.68	84200	0.0	0.0
1996-11-22	23.44	24.25	22.63	22.9	57400	0.0	0.0
1996-11-25	23.44	24.25	22.63	23.17	44600	0.0	0.0
1996-11-26	23.71	23.71	22.9	22.9	27700	0.0	0.0
1996-11-27	23.71	23.71	22.9	22.9	42400	0.0	0.0
1996-11-29	23.71	23.71	22.9	23.58	10900	0.0	0.0
1996-12-02	23.71	23.71	23.17	23.17	14100	0.0	0.0
1996-12-03	22.9	25.06	21.83	24.52	154600	0.0	0.0
1996-12-04	23.98	27.48	23.98	25.33	149700	0.0	0.0
1996-12-05	25.6	26.14	25.33	26.14	28600	0.0	0.0
