Date	Firm	To Grade	From Grade	Action
2012-03-16 06:20:00	Deutsche Bank	Hold		main
2012-03-19 08:12:00	Wells Fargo	Outperform		up
2012-04-03 06:11:00	Deutsche Bank	Hold		main
2012-04-20 06:14:00	Deutsche Bank	Hold		main
2012-04-20 06:38:00	Goldman Sachs	Neutral		main
2012-04-26 09:47:00	CLSA	Outperform		up
2012-05-03 06:12:00	BGB Securities	Sell		init
2012-06-21 05:58:00	Deutsche Bank	Hold		main
2012-07-11 06:57:00	Topeka	Buy		main
2012-07-20 06:04:00	Deutsche Bank	Hold		main
2012-07-23 12:24:00	Barclays	Equal-Weight		main
2012-08-16 05:59:00	ISI Group	Hold		main
2012-09-27 07:57:00	BGB Securities	Hold		main
2012-10-19 07:40:00	Nomura	Buy		main
2012-10-19 14:15:00	BGB Securities	Sell	Hold	down
2012-11-15 12:52:00	Barclays	Equal-Weight		main
2012-11-16 06:54:00	Compass Point	Neutral		init
2012-11-19 10:52:00	Evercore Partners	Equal-Weight	Underweight	up
2013-01-15 06:46:12	Sterne Agee	Buy		init
2013-01-25 07:21:28	Compass Point	Neutral		main
2013-01-25 08:07:57	Nomura	Buy		main
2013-02-22 08:30:31	Nomura	Neutral	Buy	down
2013-03-08 07:47:15	Credit Agricole	Underperform	Outperform	down
2013-03-14 06:36:44	Keefe Bruyette & Woods	Underperform	Market Perform	down
2013-03-14 07:40:43	Compass Point	Neutral		main
2013-04-09 08:11:59	Sterne Agee	Buy		main
2013-04-19 06:16:10	Keefe Bruyette & Woods	Market Perform	Underperform	up
2013-04-19 06:20:21	ISI Group	Neutral	Cautious	up
2013-04-19 06:32:02	Compass Point	Neutral		main
2013-04-19 08:25:03	Nomura	Neutral		main
2013-04-19 09:16:44	Sterne Agee	Buy		main
2013-05-15 07:26:36	Barclays	Underweight	Equal-Weight	down
2013-06-18 14:52:10	Credit Suisse	Neutral	Neutral	main
2013-06-19 15:13:20	Sterne Agee	Buy		main
2013-07-25 07:22:47	Compass Point	Neutral		main
2013-09-06 06:26:00	Goldman Sachs	Buy	Neutral	up
2013-09-10 07:00:00	Macquarie	Outperform	Neutral	up
2013-10-24 07:20:42	Compass Point	Neutral		main
2014-01-09 07:26:06	Nomura	Buy		init
2014-01-24 07:22:53	Credit Suisse	Neutral		main
2014-01-24 07:37:13	Compass Point	Buy	Neutral	up
2014-01-27 08:00:00	JMP Securities	Market Outperform	Market Perform	up
2014-04-09 06:43:51	Bank of America	Neutral	Underperform	up
2014-04-11 08:00:00	Barclays	Overweight	Underweight	up
2014-04-23 08:00:00	Wells Fargo	Outperform	Market Perform	up
2014-04-24 00:28:55	Barclays	Overweight		main
2014-04-24 01:40:03	Credit Suisse	Neutral		main
2014-04-24 07:28:05	Compass Point	Buy		main
2014-04-24 08:00:00	Sandler O'Neill	Buy	Hold	up
2014-05-19 07:43:32	Raymond James	Outperform	Market Perform	up
2014-07-11 21:41:40	JMP Securities	Market Outperform		main
2014-07-14 06:22:49	Jefferies	Hold		init
