Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2006-08-14	18.07	18.81	17.76	18.04	426000	0.0	0
2006-08-15	18.5	19.9	18.4	18.75	240600	0.0	0
2006-08-16	19.02	21.37	19.02	19.9	392500	0.0	0
2006-08-17	20.08	21.12	19.9	20.36	229200	0.0	0
2006-08-18	20.36	21.12	19.98	21.12	93700	0.0	0
2006-08-21	21.35	21.76	20.96	21.67	137600	0.0	0
2006-08-22	21.81	22.12	21.14	21.34	71000	0.0	0
2006-08-23	21.34	21.84	21.03	21.61	124400	0.0	0
2006-08-24	21.61	22.22	21.28	22.08	71400	0.0	0
2006-08-25	22.15	22.65	21.95	22.34	147300	0.0	0
2006-08-28	22.16	22.3	21.08	21.17	78800	0.0	0
2006-08-29	21.03	21.03	19.9	20.19	188600	0.0	0
2006-08-30	20.08	20.43	19.55	20.26	68400	0.0	0
2006-08-31	20.27	20.74	20.15	20.26	65400	0.0	0
2006-09-01	20.29	20.33	19.66	20.32	58700	0.0	0
2006-09-05	20.41	20.86	20.41	20.69	132000	0.0	0
2006-09-06	20.64	20.77	19.98	20.19	44900	0.0	0
2006-09-07	20.08	20.08	19.31	19.34	59800	0.0	0
2006-09-08	19.28	19.31	18.61	18.74	49200	0.0	0
2006-09-11	18.78	19.37	18.64	19.33	51100	0.0	0
2006-09-12	19.48	20.43	19.24	20.23	94600	0.0	0
2006-09-13	20.27	21.42	20.27	21.14	163900	0.0	0
2006-09-14	21.03	21.63	21.0	21.54	65700	0.0	0
2006-09-15	21.5	21.91	21.05	21.53	79800	0.0	0
2006-09-18	21.48	21.53	21.11	21.3	41000	0.0	0
2006-09-19	21.3	21.3	20.41	21.28	77100	0.0	0
2006-09-20	21.21	22.19	21.03	21.14	83400	0.0	0
2006-09-21	21.14	21.36	20.79	21.12	61900	0.0	0
2006-09-22	21.14	21.21	20.82	20.86	17100	0.0	0
2006-09-25	20.86	21.75	20.61	21.24	54200	0.0	0
2006-09-26	21.38	21.38	20.96	21.14	31400	0.0	0
2006-09-27	21.14	21.28	20.86	21.03	47400	0.0	0
2006-09-28	21.03	21.17	20.74	20.94	89000	0.0	0
2006-09-29	20.89	20.89	19.9	20.29	131100	0.0	0
2006-10-02	20.29	20.73	20.26	20.38	35800	0.0	0
2006-10-03	20.31	20.54	20.22	20.47	25100	0.0	0
2006-10-04	20.43	21.98	20.09	21.96	72200	0.0	0
2006-10-05	22.03	22.03	21.52	21.91	101200	0.0	0
2006-10-06	21.91	23.6	21.84	22.29	99800	0.0	0
2006-10-09	22.9	23.86	22.69	23.6	146500	0.0	0
2006-10-10	23.67	24.31	23.64	23.64	129900	0.0	0
2006-10-11	23.6	24.0	23.04	23.86	112200	0.0	0
2006-10-12	23.96	24.86	23.96	24.66	59000	0.0	0
2006-10-13	24.6	24.6	24.02	24.2	40600	0.0	0
2006-10-16	24.38	24.83	24.24	24.6	55900	0.0	0
2006-10-17	24.73	24.84	24.25	24.53	40300	0.0	0
2006-10-18	24.54	24.58	23.12	23.48	47000	0.0	0
2006-10-19	23.48	24.84	23.48	24.84	142300	0.0	0
2006-10-20	25.01	25.44	24.38	24.93	106400	0.0	0
2006-10-23	25.58	26.35	25.3	25.95	198800	0.0	0
2006-10-24	26.07	26.63	26.01	26.17	126300	0.0	0
2006-10-25	26.28	26.42	26.18	26.39	41800	0.0	0
2006-10-26	26.42	27.99	26.42	27.76	91800	0.0	0
2006-10-27	27.97	28.22	27.62	27.7	88800	0.0	0
2006-10-30	27.52	27.83	27.02	27.13	74900	0.0	0
2006-10-31	27.41	27.41	25.45	25.84	158300	0.0	0
2006-11-01	25.75	26.0	24.1	25.33	191900	0.0	0
2006-11-02	25.15	25.15	24.13	24.55	85300	0.0	0
2006-11-03	24.55	25.01	24.55	25.01	124800	0.0	0
2006-11-06	23.83	25.26	23.58	24.42	288300	0.0	0
2006-11-07	24.42	25.37	23.01	23.58	217600	0.0	0
2006-11-08	23.74	24.32	21.48	22.69	256900	0.0	0
2006-11-09	22.27	22.63	21.31	22.22	225200	0.0	0
2006-11-10	22.22	22.8	22.22	22.69	149900	0.0	0
2006-11-13	22.55	22.58	22.0	22.55	118500	0.0	0
2006-11-14	22.6	24.38	22.6	24.24	171400	0.0	0
2006-11-15	24.2	25.33	24.13	24.73	139800	0.0	0
2006-11-16	24.45	26.35	24.45	26.01	265200	0.0	0
2006-11-17	25.98	26.88	25.41	26.63	122900	0.0	0
2006-11-20	27.13	27.13	26.11	26.92	83000	0.0	0
2006-11-21	26.88	26.88	26.44	26.46	22900	0.0	0
2006-11-22	26.46	26.46	26.0	26.11	29600	0.0	0
2006-11-24	26.11	26.39	25.79	26.27	31000	0.0	0
2006-11-27	26.28	26.28	24.87	25.3	129600	0.0	0
2006-11-28	25.22	25.46	24.96	25.38	97500	0.0	0
2006-11-29	25.44	25.58	25.19	25.44	75600	0.0	0
2006-11-30	25.54	26.09	25.32	25.99	51400	0.0	0
2006-12-01	26.14	26.28	25.15	25.32	35000	0.0	0
2006-12-04	25.3	25.34	24.01	24.87	140300	0.0	0
2006-12-05	24.87	25.18	24.78	25.18	26100	0.0	0
2006-12-06	25.18	25.44	25.1	25.4	16700	0.0	0
2006-12-07	25.47	25.56	25.01	25.08	15200	0.0	0
2006-12-08	25.08	25.12	24.81	24.89	10900	0.0	0
2006-12-11	24.82	25.94	24.71	25.58	39200	0.0	0
2006-12-12	25.58	25.58	25.06	25.51	29400	0.0	0
2006-12-13	25.53	26.35	25.53	25.69	97900	0.0	0
2006-12-14	25.69	26.21	25.26	25.27	66700	0.0	0
2006-12-15	25.27	25.39	24.84	25.15	29000	0.0	0
2006-12-18	25.08	25.49	24.48	24.61	22100	0.0	0
2006-12-19	24.6	24.89	23.74	24.8	45200	0.0	0
2006-12-20	24.7	25.0	24.6	24.85	40600	0.0	0
2006-12-21	24.85	25.12	24.78	25.08	16100	0.0	0
2006-12-22	25.05	25.05	24.32	24.49	5900	0.0	0
2006-12-26	24.41	24.45	24.03	24.45	14900	0.0	0
2006-12-27	24.48	25.18	24.48	25.1	27000	0.0	0
2006-12-28	25.09	25.15	25.07	25.12	18600	0.0	0
2006-12-29	25.26	26.0	25.25	25.96	44700	0.0	0
2007-01-03	25.89	25.92	24.63	25.72	51700	0.0	0
2007-01-04	25.72	26.99	25.72	26.67	42700	0.0	0
2007-01-05	26.56	26.95	25.93	26.07	46600	0.0	0
2007-01-08	25.89	25.9	25.27	25.35	58200	0.0	0
2007-01-09	25.26	25.49	25.04	25.37	23800	0.0	0
2007-01-10	25.3	26.6	24.96	25.88	66300	0.0	0
2007-01-11	26.03	26.44	25.95	26.35	24200	0.0	0
2007-01-12	26.41	26.41	25.49	25.96	36800	0.0	0
2007-01-16	25.93	26.14	25.25	25.33	87400	0.0	0
2007-01-17	25.3	25.45	25.3	25.3	28100	0.0	0
2007-01-18	25.31	25.31	24.66	24.9	41300	0.0	0
2007-01-19	24.8	24.83	24.46	24.66	28400	0.0	0
2007-01-22	24.56	24.56	23.6	23.7	88800	0.0	0
2007-01-23	23.6	23.62	23.39	23.44	86000	0.0	0
2007-01-24	23.32	23.39	23.13	23.22	162900	0.0	0
2007-01-25	23.32	23.46	23.04	23.12	21800	0.0	0
2007-01-26	23.12	23.48	23.06	23.48	53000	0.0	0
2007-01-29	23.46	23.53	23.12	23.32	40200	0.0	0
2007-01-30	23.15	23.91	23.15	23.89	18100	0.0	0
2007-01-31	23.75	24.1	23.66	23.88	22100	0.0	0
2007-02-01	23.88	23.9	22.75	22.81	64900	0.0	0
2007-02-02	22.81	23.76	22.58	23.76	66000	0.0	0
2007-02-05	23.73	23.91	23.23	23.41	11300	0.0	0
2007-02-06	23.42	24.0	23.4	23.92	29100	0.0	0
2007-02-07	24.03	24.06	23.84	24.04	21500	0.0	0
2007-02-08	24.06	24.08	24.0	24.03	32300	0.0	0
2007-02-09	24.03	24.78	24.03	24.6	96200	0.0	0
2007-02-12	24.62	24.7	23.89	23.96	16300	0.0	0
2007-02-13	23.96	23.96	23.39	23.39	31100	0.0	0
2007-02-14	23.39	24.29	23.36	23.82	48400	0.0	0
2007-02-15	23.82	23.97	23.14	23.21	96500	0.0	0
2007-02-16	23.17	23.48	23.02	23.02	104200	0.0	0
2007-02-20	23.02	23.16	22.72	22.96	54000	0.0	0
2007-02-21	22.93	23.36	22.93	23.04	54700	0.0	0
2007-02-22	23.04	23.5	22.9	23.29	96800	0.0	0
2007-02-23	23.22	23.74	23.22	23.53	24000	0.0	0
2007-02-26	23.53	23.57	23.1	23.18	85000	0.0	0
2007-02-27	23.11	23.17	22.41	22.41	61400	0.0	0
2007-02-28	23.05	23.18	22.19	22.61	89700	0.0	0
2007-03-01	22.48	22.86	22.06	22.53	123700	0.0	0
2007-03-02	22.49	22.62	22.37	22.48	29700	0.0	0
2007-03-05	22.41	22.43	21.36	21.74	45700	0.0	0
2007-03-06	21.74	22.52	21.74	22.43	66200	0.0	0
2007-03-07	22.41	22.41	22.09	22.17	5700	0.0	0
2007-03-08	22.22	22.5	22.22	22.36	18300	0.07	0
2007-03-09	22.43	22.43	22.14	22.31	19200	0.0	0
2007-03-12	22.31	22.49	22.23	22.46	8300	0.0	0
2007-03-13	22.46	22.57	21.93	22.09	67100	0.0	0
2007-03-14	22.1	22.98	22.07	22.75	28600	0.0	0
2007-03-15	22.8	22.89	22.67	22.77	12300	0.0	0
2007-03-16	22.77	23.33	22.67	23.09	72000	0.0	0
2007-03-19	23.16	23.2	23.09	23.16	12700	0.0	0
2007-03-20	23.17	23.37	23.13	23.23	5500	0.0	0
2007-03-21	23.23	23.23	22.36	22.84	75400	0.0	0
2007-03-22	22.75	22.94	22.46	22.59	21800	0.0	0
2007-03-23	22.58	22.88	22.37	22.59	87900	0.0	0
2007-03-26	22.58	22.6	22.05	22.17	76500	0.0	0
2007-03-27	22.18	22.18	22.07	22.17	16800	0.0	0
2007-03-28	22.17	22.43	21.44	21.58	129300	0.0	0
2007-03-29	21.71	22.44	21.04	22.03	136000	0.0	0
2007-03-30	22.09	22.24	22.03	22.03	38200	0.0	0
2007-04-02	21.96	22.24	21.29	21.86	28900	0.0	0
2007-04-03	21.88	22.33	21.68	22.26	84500	0.0	0
2007-04-04	22.24	22.65	22.18	22.24	27800	0.0	0
2007-04-05	22.24	22.72	22.07	22.32	57200	0.0	0
2007-04-09	22.25	22.67	22.17	22.56	12500	0.0	0
2007-04-10	22.53	23.37	21.94	22.03	69900	0.0	0
2007-04-11	21.86	21.89	21.18	21.28	135300	0.0	0
2007-04-12	21.35	21.51	20.9	21.41	40400	0.0	0
2007-04-13	21.43	21.54	21.42	21.47	29300	0.0	0
2007-04-16	21.57	22.75	21.55	22.46	37300	0.0	0
2007-04-17	22.51	22.59	22.18	22.29	52300	0.0	0
2007-04-18	22.27	22.51	22.17	22.42	27500	0.0	0
2007-04-19	22.39	22.69	22.22	22.48	9700	0.0	0
2007-04-20	22.56	23.33	22.45	23.32	50800	0.0	0
2007-04-23	23.18	23.81	22.52	23.39	33700	0.0	0
2007-04-24	23.3	23.3	22.58	22.69	40700	0.0	0
2007-04-25	22.77	22.9	21.89	22.07	59600	0.0	0
2007-04-26	22.12	22.27	21.73	21.89	43500	0.0	0
2007-04-27	21.82	21.95	21.45	21.45	26000	0.0	0
2007-04-30	21.45	21.88	20.37	20.44	682400	0.0	0
2007-05-01	20.5	20.86	20.35	20.49	343400	0.0	0
2007-05-02	20.53	20.73	20.3	20.41	58000	0.0	0
2007-05-03	20.46	21.54	20.3	20.47	119700	0.0	0
2007-05-04	20.48	20.69	20.33	20.69	78000	0.0	0
2007-05-07	20.7	21.36	20.55	21.12	73000	0.0	0
2007-05-08	21.19	21.26	20.91	21.07	38400	0.0	0
2007-05-09	21.19	21.71	20.8	21.19	76100	0.0	0
2007-05-10	21.25	21.31	20.53	20.62	33400	0.0	0
2007-05-11	20.63	21.02	20.44	20.69	85100	0.0	0
2007-05-14	20.34	21.52	20.3	21.43	117700	0.0	0
2007-05-15	22.87	23.28	21.19	21.44	171300	0.0	0
2007-05-16	21.42	21.43	20.62	21.4	126400	0.0	0
2007-05-17	21.4	21.74	20.87	21.43	161600	0.0	0
2007-05-18	21.29	21.81	20.87	20.87	1680500	0.0	0
2007-05-21	20.92	21.76	20.92	21.42	372400	0.0	0
2007-05-22	21.4	21.4	21.11	21.26	103600	0.0	0
2007-05-23	21.26	21.47	20.49	20.85	247000	0.0	0
