	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	188139998	2020-06-29	0.0783	42720949345
1	Blackrock Inc.	161273433	2020-06-29	0.06709999999999999	36620358431
2	FMR, LLC	124032404	2020-06-29	0.0516	28164037976
3	Price (T.Rowe) Associates Inc	103460097	2020-06-29	0.043	23492684225
4	State Street Corporation	96902907	2020-06-29	0.0403	22003743092
5	Capital Research Global Investors	65229967	2020-06-29	0.0271	14811768606
6	Capital International Investors	51683693	2020-06-29	0.0215	11735816169
7	Capital World Investors	41027952	2020-06-29	0.0171	9316217060
8	Geode Capital Management, LLC	37004646	2020-06-29	0.0154	8402644967
9	Northern Trust Corporation	28394105	2020-06-29	0.0118	6447449422
