2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	17.68
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	102
governanceScore	12.42
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	31.54
highestControversy	4
esgPerformance	OUT_PERF
coal	False
pesticides	False
adult	False
percentile	62.25
peerGroup	Software & Services
smallArms	False
environmentScore	1.43
governancePercentile	
militaryContract	False
