	Holder	Shares	Date Reported	% Out	Value
0	Oakmark Fund	20120198	2020-03-30	0.013000000000000001	144664223
1	Vanguard International Stock Index-Total Intl Stock Indx	19188462	2020-04-29	0.0124	165212657
2	Vanguard International Growth Fund	13737294	2020-05-30	0.0089	121437678
3	Vanguard Tax Managed Fund-Vanguard Developed Markets Index Fund	7104753	2020-03-30	0.0046	51083174
4	iShares Core MSCI EAFE ETF	4707350	2020-04-29	0.003	40530283
5	DFA International Value Series	4570459	2020-04-29	0.0029	39351651
6	DFA International Core Equity Portfolio	4524967	2020-04-29	0.0029	38959965
7	Fidelity Advisor New Insights Fund	4391616	2020-05-30	0.0028000000000000004	38821885
8	Fidelity Mid-Cap Stock Fund	4291596	2020-05-30	0.0028000000000000004	37937708
9	iShares MSCI Eafe ETF	4105901	2020-04-29	0.0026	35351807
