Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1996-06-28	3.34	3.7	3.32	3.61	7850100	0.0	0.0
1996-07-01	3.57	3.66	3.57	3.63	663600	0.0	0.0
1996-07-02	3.59	3.75	3.59	3.7	1340100	0.0	0.0
1996-07-03	3.72	3.72	3.59	3.66	660600	0.0	0.0
1996-07-05	3.59	3.59	3.5	3.59	502500	0.0	0.0
1996-07-08	3.61	3.61	3.34	3.36	584400	0.0	0.0
1996-07-09	3.39	3.43	3.34	3.34	238500	0.0	0.0
1996-07-10	3.34	3.36	3.2	3.2	520200	0.0	0.0
1996-07-11	3.16	3.16	3.0	3.11	192600	0.0	0.0
1996-07-12	3.11	3.16	3.11	3.14	49500	0.0	0.0
1996-07-15	3.11	3.2	3.11	3.11	342900	0.0	0.0
1996-07-16	3.09	3.09	2.8	2.84	350400	0.0	0.0
1996-07-17	2.89	3.14	2.89	3.09	181800	0.0	0.0
1996-07-18	3.07	3.09	3.07	3.09	8100	0.0	0.0
1996-07-19	3.09	3.11	3.09	3.11	33600	0.0	0.0
1996-07-22	3.16	3.2	3.14	3.16	206100	0.0	0.0
1996-07-23	3.18	3.18	3.07	3.07	11700	0.0	0.0
1996-07-24	3.07	3.09	3.02	3.09	54300	0.0	0.0
1996-07-25	3.09	3.14	3.09	3.14	46200	0.0	0.0
1996-07-26	3.16	3.16	3.16	3.16	22500	0.0	0.0
1996-07-29	3.18	3.32	3.18	3.29	79200	0.0	0.0
1996-07-30	3.29	3.43	3.27	3.43	212400	0.0	0.0
1996-07-31	3.43	3.63	3.43	3.61	257400	0.0	0.0
1996-08-01	3.61	3.61	3.54	3.54	30000	0.0	0.0
1996-08-02	3.61	3.61	3.5	3.5	90000	0.0	0.0
1996-08-05	3.54	3.59	3.54	3.57	25500	0.0	0.0
1996-08-06	3.59	3.59	3.54	3.54	89100	0.0	0.0
1996-08-07	3.5	3.5	3.34	3.34	71400	0.0	0.0
1996-08-08	3.32	3.34	3.29	3.32	233100	0.0	0.0
1996-08-09	3.36	3.48	3.36	3.45	70500	0.0	0.0
