2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	11.68
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	102
governanceScore	6.9
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	18.68
highestControversy	1
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	16.26
peerGroup	Software & Services
smallArms	False
environmentScore	0.11
governancePercentile	
militaryContract	False
