2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	11.81
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	102
governanceScore	7.6
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	19.59
highestControversy	2
esgPerformance	UNDER_PERF
coal	False
pesticides	False
adult	False
percentile	19.04
peerGroup	Software & Services
smallArms	False
environmentScore	0.18
governancePercentile	
militaryContract	False
