Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2016-07-05	48.49	53.33	47.5	47.7	6230700	0.0	0
2016-07-06	46.2	47.7	45.43	46.87	6706500	0.0	0
2016-07-07	46.74	47.11	46.47	46.86	5486800	0.0	0
2016-07-08	47.07	49.67	46.65	49.27	4243500	0.0	0
2016-07-11	48.3	50.28	48.07	50.17	6042300	0.0	0
2016-07-12	50.06	50.11	49.33	49.63	5552900	0.0	0
2016-07-13	49.63	50.15	48.91	49.68	4864700	0.0	0
2016-07-14	49.4	50.78	49.03	50.62	3481600	0.0	0
2016-07-15	50.82	50.95	49.67	50.28	3689800	0.0	0
2016-07-18	49.83	50.63	49.57	50.34	1557500	0.0	0
2016-07-19	50.1	50.61	49.51	50.6	1954700	0.0	0
2016-07-20	50.88	50.96	49.08	49.41	3351700	0.0	0
2016-07-21	49.47	49.68	49.06	49.31	3029900	0.0	0
2016-07-22	49.07	49.36	48.38	48.49	2450600	0.0	0
2016-07-25	48.31	48.53	46.97	48.07	3044800	0.0	0
2016-07-26	47.66	48.51	47.39	48.37	1571400	0.0	0
2016-07-27	48.17	48.58	47.81	48.01	1628600	0.0	0
2016-07-28	47.84	48.18	47.45	47.75	2923100	0.0	0
2016-07-29	47.56	47.9	47.12	47.32	4484100	0.0	0
2016-08-01	47.22	47.61	46.71	46.92	2981000	0.0	0
2016-08-02	46.62	47.13	46.31	46.62	3267300	0.0	0
2016-08-03	46.62	48.56	46.47	48.37	4709900	0.0	0
2016-08-04	48.67	49.18	48.56	49.1	3046800	0.0	0
2016-08-05	49.33	50.04	49.33	49.64	2665900	0.0	0
2016-08-08	49.69	49.93	49.02	49.12	2116500	0.0	0
2016-08-09	47.83	49.59	47.52	49.53	1077900	0.0	0
2016-08-10	49.54	49.86	49.17	49.52	1182400	0.0	0
2016-08-11	49.79	51.73	49.76	51.58	1992700	0.0	0
2016-08-12	51.04	51.89	50.84	51.73	1287800	0.0	0
2016-08-15	51.97	52.77	51.88	52.67	1457900	0.0	0
2016-08-16	52.59	52.95	52.28	52.56	1002300	0.0	0
2016-08-17	52.68	52.74	52.35	52.42	1032100	0.0	0
2016-08-18	52.23	52.53	51.95	52.18	874700	0.0	0
2016-08-19	51.97	51.97	50.75	50.96	1196100	0.0	0
2016-08-22	50.96	51.08	50.13	50.31	1081700	0.0	0
2016-08-23	50.41	51.14	50.19	50.94	2513600	0.0	0
2016-08-24	50.38	50.89	49.73	50.49	692800	0.07	0
2016-08-25	50.3	51.0	50.1	50.73	1384900	0.0	0
2016-08-26	50.75	51.44	50.64	50.98	937600	0.0	0
2016-08-29	50.89	51.88	50.67	51.51	1044800	0.0	0
2016-08-30	51.29	52.55	51.29	51.71	952100	0.0	0
2016-08-31	51.57	51.91	51.11	51.76	1653600	0.0	0
2016-09-01	52.05	52.2	51.24	51.73	959400	0.0	0
2016-09-02	52.11	52.55	51.9	52.46	840800	0.0	0
2016-09-06	52.58	52.63	51.39	51.82	1293800	0.0	0
2016-09-07	51.53	52.21	51.13	52.03	1743200	0.0	0
2016-09-08	51.77	52.05	51.37	51.43	1097800	0.0	0
2016-09-09	50.88	51.12	49.68	49.68	2170700	0.0	0
2016-09-12	49.16	50.56	49.0	50.33	1862400	0.0	0
2016-09-13	49.99	50.52	49.11	49.18	1607100	0.0	0
2016-09-14	49.19	49.63	48.79	49.16	1152300	0.0	0
2016-09-15	49.12	49.73	48.65	49.62	1410100	0.0	0
2016-09-16	49.25	49.52	48.57	49.4	2351900	0.0	0
2016-09-19	49.54	50.52	49.51	49.91	975300	0.0	0
2016-09-20	49.91	50.2	49.35	49.39	1070400	0.0	0
2016-09-21	49.6	50.13	49.36	50.1	850800	0.0	0
2016-09-22	50.47	51.1	50.41	50.75	1649200	0.0	0
2016-09-23	50.42	50.69	49.78	50.01	807200	0.0	0
2016-09-26	49.79	50.61	49.44	50.34	1066300	0.0	0
2016-09-27	50.22	50.89	50.17	50.72	1196400	0.0	0
2016-09-28	50.85	50.88	50.47	50.83	905700	0.0	0
2016-09-29	50.21	50.72	49.76	49.83	1458100	0.0	0
2016-09-30	50.24	50.39	49.42	50.03	1952400	0.0	0
2016-10-03	49.74	50.77	49.74	50.51	1360700	0.0	0
2016-10-04	50.38	50.57	49.69	49.94	1212800	0.0	0
2016-10-05	50.14	50.41	49.73	50.06	884500	0.0	0
2016-10-06	49.96	50.09	49.63	49.83	764000	0.0	0
2016-10-07	49.63	49.94	49.01	49.07	1055600	0.0	0
2016-10-10	49.37	49.46	49.04	49.09	1021200	0.0	0
2016-10-11	49.06	49.3	48.18	48.37	1401900	0.0	0
2016-10-12	48.55	48.55	47.81	48.15	1620000	0.0	0
2016-10-13	47.79	48.83	47.18	47.98	1209600	0.0	0
2016-10-14	48.23	49.08	47.97	48.61	872300	0.0	0
2016-10-17	48.71	48.74	48.07	48.22	1116500	0.0	0
2016-10-18	48.8	49.46	48.16	48.25	1152600	0.0	0
2016-10-19	48.42	48.94	47.63	48.54	759900	0.0	0
2016-10-20	48.3	48.33	47.61	47.86	1419300	0.0	0
2016-10-21	47.39	48.05	47.3	47.83	1707000	0.0	0
2016-10-24	48.03	48.41	47.53	47.72	1269600	0.0	0
2016-10-25	47.67	47.67	47.04	47.1	1279400	0.0	0
2016-10-26	46.98	47.29	46.72	46.95	1574700	0.0	0
2016-10-27	46.87	46.87	46.01	46.67	3144200	0.0	0
2016-10-28	49.37	50.8	48.88	49.35	3978800	0.0	0
2016-10-31	49.35	50.47	49.18	50.17	1561700	0.0	0
2016-11-01	50.06	50.14	49.13	49.62	1775800	0.0	0
2016-11-02	49.58	50.27	49.42	49.46	866600	0.0	0
2016-11-03	49.43	50.32	49.13	50.1	1145700	0.0	0
2016-11-04	50.14	50.77	49.67	50.23	1568200	0.0	0
2016-11-07	50.68	51.18	50.16	50.9	1413900	0.0	0
2016-11-08	50.99	51.89	50.49	51.75	1165900	0.0	0
2016-11-09	51.1	53.0	51.01	52.54	1673900	0.0	0
2016-11-10	53.02	54.39	52.77	53.27	1796200	0.0	0
2016-11-11	53.16	53.8	52.36	52.48	1431400	0.0	0
2016-11-14	52.74	53.13	52.57	52.89	2630400	0.0	0
2016-11-15	53.01	53.51	52.77	53.19	1703400	0.0	0
2016-11-16	52.87	53.52	52.79	53.5	1533500	0.0	0
2016-11-17	53.45	53.72	52.99	53.56	932400	0.0	0
2016-11-18	53.54	53.81	53.16	53.69	1214900	0.0	0
2016-11-21	53.32	54.21	53.07	53.89	1391300	0.0	0
2016-11-22	53.87	54.88	53.69	54.49	1333200	0.07	0
2016-11-23	54.79	55.11	54.46	54.98	985100	0.07	0
2016-11-25	55.26	55.33	54.64	55.15	489300	0.0	0
2016-11-28	55.26	55.41	54.51	54.77	1054100	0.0	0
2016-11-29	54.55	55.16	54.4	54.47	1078000	0.0	0
2016-11-30	54.83	55.33	54.0	54.18	4718900	0.0	0
2016-12-01	54.33	54.4	53.21	53.39	3325300	0.0	0
2016-12-02	53.49	54.22	53.22	53.68	2545400	0.0	0
2016-12-05	53.97	54.08	52.78	53.12	1420800	0.0	0
2016-12-06	53.18	53.33	52.75	53.21	2281300	0.0	0
2016-12-07	53.21	53.61	52.63	53.44	3285700	0.0	0
2016-12-08	53.57	53.66	52.65	52.89	2203200	0.0	0
2016-12-09	52.72	53.36	52.54	53.21	1441400	0.0	0
2016-12-12	53.09	53.57	52.95	53.2	1533200	0.0	0
2016-12-13	53.48	53.65	52.47	53.06	2752000	0.0	0
2016-12-14	53.1	54.52	53.08	53.45	1559700	0.0	0
2016-12-15	53.41	54.48	53.14	54.01	1578100	0.0	0
2016-12-16	54.05	54.21	53.6	54.02	2646100	0.0	0
2016-12-19	54.01	54.22	53.59	54.15	1169300	0.0	0
2016-12-20	54.43	54.65	54.01	54.24	1187900	0.0	0
2016-12-21	54.16	54.16	53.13	53.33	1469800	0.0	0
2016-12-22	53.33	54.17	52.9	53.3	1543300	0.0	0
2016-12-23	53.53	53.96	52.98	53.71	511900	0.0	0
2016-12-27	53.95	54.03	53.32	53.66	915400	0.0	0
2016-12-28	53.86	53.86	52.68	52.96	602700	0.0	0
2016-12-29	53.2	53.34	52.8	53.22	497200	0.0	0
2016-12-30	53.4	53.68	52.61	52.84	705100	0.0	0
2017-01-03	53.1	53.39	52.21	52.94	1615100	0.0	0
2017-01-04	53.33	53.73	53.18	53.45	1487100	0.0	0
2017-01-05	53.53	53.9	52.92	53.15	1430000	0.0	0
2017-01-06	53.11	53.4	52.61	53.08	1260000	0.0	0
2017-01-09	53.23	53.4	52.8	52.94	743300	0.0	0
2017-01-10	52.94	53.29	52.69	53.01	1311600	0.0	0
2017-01-11	52.99	53.09	52.48	52.87	3691700	0.0	0
2017-01-12	52.68	53.1	52.58	52.88	2030200	0.0	0
2017-01-13	53.6	54.35	53.6	53.96	1439400	0.0	0
2017-01-17	53.64	53.73	52.88	53.34	1234900	0.0	0
2017-01-18	53.32	53.6	53.06	53.34	1346100	0.0	0
2017-01-19	53.43	53.88	53.21	53.47	821100	0.0	0
