	Holder	Shares	Date Reported	% Out	Value
0	Prentice Capital Management, LP	11893336	2020-06-29	0.0922	56612279
1	Vanguard Group, Inc. (The)	11711246	2020-06-29	0.0908	55745530
2	Blackrock Inc.	8966931	2020-06-29	0.0695	42682591
3	JP Morgan Chase & Company	8475795	2020-06-29	0.06570000000000001	40344784
4	Shaw D.E. & Co., Inc.	5922711	2020-06-29	0.045899999999999996	28192104
5	Jacobs Levy Equity Management, Inc.	3104159	2020-06-29	0.0241	14775796
6	State Street Corporation	2510752	2020-06-29	0.0195	11951179
7	Morgan Stanley	2159161	2020-06-29	0.0167	10277606
8	Geode Capital Management, LLC	1908054	2020-06-29	0.0148	9082337
9	Northern Trust Corporation	1677154	2020-06-29	0.013000000000000001	7983253
