Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2011-11-04	560.0	622.8	518.0	522.2	2490600	0	0.0
2011-11-07	548.8	555.6	491.8	519.4	475800	0	0.0
2011-11-08	524.0	524.2	495.0	498.0	213300	0	0.0
2011-11-09	470.2	491.2	455.2	480.4	227200	0	0.0
2011-11-10	482.6	499.2	464.0	488.2	117200	0	0.0
2011-11-11	499.2	500.0	472.2	485.0	65800	0	0.0
2011-11-14	468.4	483.2	468.0	481.4	78800	0	0.0
2011-11-15	480.0	494.8	473.6	481.4	60400	0	0.0
2011-11-16	480.4	486.0	475.0	480.6	37700	0	0.0
2011-11-17	472.0	499.0	472.0	495.4	81100	0	0.0
2011-11-18	492.6	525.0	484.0	523.8	125200	0	0.0
2011-11-21	535.0	538.0	465.6	471.6	129500	0	0.0
2011-11-22	495.0	495.0	400.6	401.4	261300	0	0.0
2011-11-23	400.0	400.0	334.2	339.2	394300	0	0.0
2011-11-25	340.0	352.8	324.0	335.0	106200	0	0.0
2011-11-28	348.8	355.0	297.0	304.8	300900	0	0.0
2011-11-29	305.6	328.8	302.2	320.2	168600	0	0.0
2011-11-30	333.8	354.8	324.2	350.0	120400	0	0.0
2011-12-01	355.4	379.8	347.2	379.0	107600	0	0.0
2011-12-02	390.0	416.4	358.0	379.0	182900	0	0.0
2011-12-05	388.4	389.6	368.0	380.8	89600	0	0.0
2011-12-06	376.0	390.2	376.0	384.8	83500	0	0.0
2011-12-07	389.6	433.4	384.0	423.0	175600	0	0.0
2011-12-08	415.2	458.0	405.0	445.4	155700	0	0.0
2011-12-09	454.6	469.8	440.0	469.6	136400	0	0.0
2011-12-12	466.8	466.8	425.4	445.0	113800	0	0.0
2011-12-13	459.0	490.0	446.0	466.4	116700	0	0.0
2011-12-14	460.0	464.0	422.0	451.0	117000	0	0.0
2011-12-15	470.0	470.0	452.6	461.6	56800	0	0.0
2011-12-16	468.8	503.0	430.0	460.8	226600	0	0.0
2011-12-19	460.2	467.4	433.6	440.0	56400	0	0.0
2011-12-20	450.0	458.0	442.0	455.0	55200	0	0.0
2011-12-21	455.0	465.0	442.2	459.2	51400	0	0.0
2011-12-22	461.0	461.0	433.6	442.0	64800	0	0.0
2011-12-23	443.8	459.6	438.0	456.8	61300	0	0.0
2011-12-27	457.2	471.8	451.6	461.0	38500	0	0.0
