Date	Firm	To Grade	From Grade	Action
2012-02-09 08:23:00	Bank oferica	Buy		main
2012-04-02 05:56:00	Credit Suisse	Neutral		main
2012-04-02 06:31:00	Benchmark	Buy		main
2012-04-02 06:37:00	Bank oferica	Neutral		down
2012-04-02 06:38:00	Goldman Sachs	Buy		main
2012-04-02 06:39:00	JP Morgan	Neutral		main
2012-04-02 06:40:00	Deutsche Bank	Hold		main
2012-04-02 08:06:00	Stifel Nicolaus	Sell		down
2012-04-03 08:01:00	Sterne Agee	Neutral		init
2012-04-17 06:50:00	Ascendiant Capital	Sell		main
2012-05-07 09:08:00	Wedbush	Neutral		main
2012-05-07 10:10:00	B. Riley	Neutral		up
2012-05-15 06:17:00	Deutsche Bank	Hold		main
2012-05-15 06:29:00	Benchmark	Buy		main
2012-05-15 06:36:00	Bank oferica	Neutral		main
2012-05-15 07:33:00	Sterne Agee	Buy		up
2012-05-15 07:58:00	Citigroup	Buy		up
2012-05-15 08:55:00	Goldman Sachs	Buy		main
2012-08-02 06:14:00	Deutsche Bank	Hold		main
2012-08-08 06:58:00	Sterne Agee	Neutral	Buy	down
2012-08-13 07:06:00	Hudson Square	Buy		main
2012-08-14 05:55:00	Citigroup	Neutral	Buy	down
2012-08-14 06:22:00	Ascendiant Capital	Sell		main
2012-08-14 06:24:00	Benchmark	Hold	Buy	down
2012-08-14 06:37:00	Morgan Stanley	Overweight		main
2012-08-14 07:34:00	Goldman Sachs	Buy		main
2012-08-14 07:38:00	Bank of America	Neutral		main
2012-08-14 12:03:00	Barclays	Overweight		main
2012-08-14 12:50:00	Barrington Research	Outperform		main
2012-08-21 07:39:00	Barclays	Underweight	Equal-Weight	down
2012-08-27 06:11:00	Ascendiant Capital	Sell		main
2012-09-04 16:14:00	Jefferies	Hold		init
2012-09-17 14:59:00	PiperJaffray	Neutral		init
2012-10-12 07:29:00	Goldman Sachs	Buy		main
2012-11-09 07:08:00	Barrington Research	Market Perform	Outperform	down
2012-11-09 07:28:00	Jefferies	Hold		main
2012-11-09 07:36:00	Deutsche Bank	Hold		main
2012-11-09 07:50:00	Hudson Square	Hold	Buy	down
2012-11-09 08:10:00	Morgan Stanley	Equal-Weight	Overweight	down
2012-11-09 08:11:00	Benchmark	Hold		main
2012-11-09 09:29:00	Bank of America	Neutral		main
2013-02-05 08:33:57	Deutsche Bank	Hold		main
2013-02-13 06:24:56	Sterne Agee	Buy	Neutral	up
2013-02-21 06:24:59	PiperJaffray	Overweight	Neutral	up
2013-02-28 06:20:25	Bank of America	Underperform	Neutral	down
2013-02-28 06:46:45	PiperJaffray	Overweight		main
2013-02-28 07:16:06	Wells Fargo	Market Perform	Outperform	down
2013-02-28 07:19:30	Raymond James	Underperform	Market Perform	down
2013-02-28 08:22:58	Ascendiant Capital	Sell		main
2013-04-02 06:41:24	UBS	Sell		init
2013-06-14 06:48:07	Deutsche Bank	Buy	Hold	up
2013-07-02 06:49:43	Wunderlich	Buy		init
2013-08-02 08:07:19	Evercore Partners	Equal-Weight	Underweight	up
2013-08-08 07:00:00	Raymond James	Market Perform	Underperform	up
2013-08-08 07:43:49	Jefferies	Hold		main
2013-08-08 07:46:49	Deutsche Bank	Buy		main
2013-08-08 07:54:34	Ascendiant Capital	Sell		main
2013-08-08 07:56:42	Evercore Partners	Equal-Weight		main
2013-08-08 07:56:52	PiperJaffray	Overweight		main
2013-08-08 07:58:01	UBS	Neutral	Sell	up
2013-08-08 07:59:35	Jefferies	Hold		main
2013-08-08 10:06:12	Bank of America	Neutral	Underperform	up
2013-08-08 12:21:57	Credit Suisse	Neutral	Neutral	main
2013-09-05 07:17:30	Morgan Stanley	Overweight		up
2013-09-19 07:00:00	Stifel Nicolaus	Buy	Hold	up
