	Holder	Shares	Date Reported	% Out	Value
0	Caledonia (Private) Investments Pty Ltd	16538183	2020-06-29	0.17920000000000003	1162634264
1	Vanguard Group, Inc. (The)	8396796	2020-06-29	0.091	590294758
2	Blackrock Inc.	7920036	2020-06-29	0.0858	556778530
3	Baillie Gifford and Company	5125532	2020-06-29	0.0555	360324899
4	JP Morgan Chase & Company	4504717	2020-06-29	0.048799999999999996	316681605
5	UBS Group AG	2819606	2020-06-29	0.030600000000000002	198218301
6	Nuveen Asset Management	2710664	2020-06-29	0.0294	190559679
7	State Street Corporation	2207481	2020-06-29	0.0239	155185914
8	First Trust Advisors LP	2096842	2020-06-29	0.0227	147407992
9	Goldman Sachs Group, Inc.	1879166	2020-06-29	0.0204	132105369
