	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	25234037	2020-06-29	0.0733	4986750391
1	State Street Corporation	19682817	2020-06-29	0.0572	3889718295
2	Blackrock Inc.	19511526	2020-06-29	0.0567	3855867768
3	Dodge & Cox Inc	11899230	2020-06-29	0.0346	2351525832
4	Massachusetts Financial Services Co.	11663297	2020-06-29	0.0339	2304900753
5	Price (T.Rowe) Associates Inc	9021698	2020-06-29	0.0262	1782867958
6	Bank Of New York Mellon Corporation	6075538	2020-06-29	0.0177	1200647819
7	Eagle Capital Management LLC	5935809	2020-06-29	0.0173	1173034574
8	Jennison Associates LLC	5459398	2020-06-29	0.0159	1078886232
9	Geode Capital Management, LLC	4676353	2020-06-29	0.013600000000000001	924140879
