2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	14.17
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	16.13
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	31.06
highestControversy	4
esgPerformance	OUT_PERF
coal	False
pesticides	False
adult	False
percentile	60.61
peerGroup	Diversified Financials
smallArms	False
environmentScore	0.75
governancePercentile	
militaryContract	False
